;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;1.0;110.22815512526657;230590.84249230783;72.984;0.0;40.0;13.320116711129188;47.54503786202069;62.606;35.27470030111926
1;1.0;111.3654319234953;228769.26037088374;72.984;0.0;40.0;13.137387790514756;49.85525812388102;62.606;35.27470030111926
2;1.0;109.63941574395554;231967.74977929707;72.984;0.0;40.0;13.320116711128883;46.43234350306063;62.606;35.27470030111926
3;1.0;111.44376642375127;225472.769217728;72.984;0.0;40.0;13.320116711128861;49.84249557837131;62.606;35.27470030111926
4;1.0;106.99670844685869;235542.77541848895;72.984;0.0;30.796331925560732;13.320116711128868;53.227;62.606;35.27470030111926
5;1.0;108.77883647806253;237224.903901851;72.984;0.0;40.0;13.320116711128883;44.805882415193494;62.606;35.27470030111926
6;1.0;107.72453934142958;227553.45409662626;72.984;0.0;31.860377145112707;13.320116711128868;53.227;62.606;35.27470030111926
7;1.0;109.61757944382836;239645.34367124402;72.984;0.0;40.0;13.320116711128863;46.39107375154859;62.606;35.27470030111926
8;1.0;110.14196745096854;228142.33276262504;72.984;0.0;40.0;13.320116711128883;47.38214653514931;62.606;35.27470030111926
9;1.0;106.29023221113769;233054.61636589436;72.984;0.0;29.734394006667237;13.320116711128962;53.227;62.606;35.27470030111926
10;1.0;107.0068465929912;233692.72513748627;72.984;0.0;30.811153288610658;13.320116711128883;53.227;62.606;35.27470030111926
11;1.0;106.6830495518842;231649.78246230521;72.984;0.0;30.3377813882627;13.320116711128883;53.227;62.606;35.27470030111926
12;1.0;110.33638130382069;226776.8932902124;72.984;0.0;40.0;13.320116711128883;47.749581098284224;62.606;35.27470030111926
13;1.0;106.57429455344544;225847.56293960367;72.984;0.0;30.17878808768377;13.320116711128883;53.227;62.606;35.27470030111926
14;1.0;109.56479696664167;234281.09633000166;72.984;0.0;40.0;13.320116711128962;46.291316938123195;62.606;35.27470030111926
15;1.0;105.81427524460821;233603.5634473161;72.984;0.0;28.95291931265689;13.320116711128863;53.227;62.606;35.27470030111926
16;1.0;107.66478916279809;232674.10494379542;72.984;0.0;31.773025958986274;13.320116711128883;53.227;62.606;35.27470030111926
17;1.0;109.81157675082359;232543.0401616292;72.984;0.0;40.0;13.320116711128883;46.75772105933761;62.606;35.27470030111926
18;2.0;110.50470938244597;218496.70814993995;72.984;0.0;40.0;13.320116711128883;48.06771457038846;62.606;35.27470030111926
19;1.0;108.08500233921839;228856.52518768358;72.984;0.0;32.387352480295014;13.320116711128883;53.227;62.606;35.27470030111926
20;1.0;110.0499937027208;225680.54304289335;72.984;0.0;40.0;13.320116711128883;47.20831975525939;62.606;35.27470030111926
21;1.0;111.39328814640655;239994.18658428002;72.984;0.0;40.0;13.94209914327067;49.19971424705728;62.606;35.27470030111926
22;1.0;106.24313188816257;232025.06101928907;72.984;0.0;29.65705989229726;13.320116711128962;53.227;62.606;35.27470030111926
23;1.0;110.77439027676417;230509.4269895431;72.984;0.0;40.0;13.320116711128962;48.57740089230393;62.606;35.27470030111926
24;1.0;108.32724482383112;232010.6679320545;72.984;0.0;40.0;13.320116711128843;43.95239188582229;62.606;35.27470030111926
25;1.0;107.5749204523978;229262.26735515083;72.984;0.0;31.641643281496208;13.320116711128852;53.227;62.606;35.27470030111926
26;1.0;108.75061892809794;226918.17460353428;72.984;0.0;40.0;13.320116711128883;44.752552351559295;62.606;35.27470030111926
27;1.0;109.54051199717749;230420.69260632055;72.984;0.0;40.0;13.320116711128843;46.245419297523554;62.606;35.27470030111926
28;2.0;110.03788649824784;222223.92749379802;72.984;0.0;40.0;13.320116711128883;47.185437613266714;62.606;35.27470030111926
29;1.0;107.91026222425188;230514.07013361403;72.984;0.0;32.131892887440415;13.320116711128883;53.227;62.606;35.27470030111926
30;1.0;109.6654799473748;228783.15675307607;72.984;0.0;40.0;13.320116711128962;46.481603826110195;62.606;35.27470030111926
31;1.0;107.93295350171097;233162.35376219178;72.984;0.0;32.16506617739826;13.320116711128883;53.227;62.606;35.27470030111926
32;1.0;110.84165567689651;226301.02281897492;72.984;0.0;40.0;13.320116711128883;48.704529862534905;62.606;35.27470030111926
33;2.0;109.78080247650391;223021.82807074185;72.984;0.0;40.0;13.320116711128883;46.69955888686606;62.606;35.27470030111926
34;1.0;111.58357845123564;225346.4029397544;72.984;0.0;40.0;14.419203764448925;49.13947668613708;62.606;35.27470030111926
35;1.0;107.95121270578052;232646.52529767214;72.984;0.0;32.19176004124487;13.320116711128883;53.227;62.606;35.27470030111926
36;1.0;111.55363274284169;237584.76278137433;72.984;0.0;40.0;13.320116711128883;50.04850025900653;62.606;35.27470030111926
37;1.0;106.17095442640664;232675.8758071436;72.984;0.0;29.53855157367462;13.320116711128883;53.227;62.606;35.27470030111926
38;1.0;109.95926962060136;225657.38840691315;72.984;0.0;40.0;13.320116711128868;47.036854795379625;62.606;35.27470030111926
39;1.0;109.28689547509833;242183.4072574402;72.984;0.0;40.0;13.320116711128883;45.76609400960375;62.606;35.27470030111926
40;1.0;107.08114053734703;231283.65136915326;72.984;0.0;30.919766590028853;13.320116711128868;53.227;62.606;35.27470030111926
