alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var;;sum var;sum std;exp gas;1std;2std;3std;;;;"""-2std"
0,15;28,75337688;41144,2858;72,98409504;0;0;0;0;0;3,84E-13;41144,2858;0;-1,86E-10;0;-8,07E-10;-3,25E-09;1,31E-11;28,75337688;0;0;0;-1,04E-12;0;0;75,49658237;0;1,21E-12;0;0;0;-8,64E-12;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,16;28,75337688;41144,2858;72,98409504;0;0;0;0;0;0;41144,2858;0;0;0;0;0;0;28,75337688;0;0;0;0;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,17;28,75337688;41144,2858;72,98409504;1,01E-12;0;6,32E-13;0;0;0;41144,2858;0;-1,86E-10;0;-8,07E-10;-5,77E-09;-3,74E-10;28,75337688;1,45E-12;0;0;0;0;0;75,49658237;0;1,21E-12;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,18;28,75337688;41144,2858;72,98409504;0;0;0;0;0;0;41144,2858;0;0;0;0;0;-3,29E-10;28,75337688;0;-1,98E-12;0;0;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,19;30,00374246;41947,37005;72,98409504;-2,41E-13;0;10,35918747;0;0;0;41144,2858;0;0;803,0842463;0;4,09E-12;-3,77E-10;28,75337688;0;0;1,250365576;0;0;0;75,49658237;0;0;6,289216065;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41947,37005;44056,97009;46166,57013;48276,17017;98,62183628;1;250000;37728,16996
0,2;28,75337688;41144,2858;72,98409504;0;-1,09E-13;0;0;0;0;41144,2858;7,31E-10;-1,98E-10;0;-8,07E-10;-1,84E-09;-3,74E-10;28,75337688;0;0;0;0;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,21;28,75337688;41144,2858;72,98409504;0;0;0;0;0;0;41144,2858;4,72E-11;0;0;-8,07E-10;-5,90E-09;-3,74E-10;28,75337688;0;0;0;0;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,22;35,29764864;41689,33031;72,98409504;2,46E-13;0;12,91185027;0;0;0;41144,2858;0;0;545,0445117;0;7,73E-11;-3,74E-10;28,75337688;0;0;6,544271763;0;0;0;75,49658237;0;0;4,58687085;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41689,33031;43798,93035;45908,5304;48018,13044;98,74415318;1;250000;37470,13023
0,23;30,77353926;41895,18508;72,98409504;0;0;10,86760459;0;0;0;41144,2858;0;0;750,8992816;-8,07E-10;0;-3,74E-10;28,75337688;0;0;2,020162378;0;0;0;75,49658237;0;0;5,914898583;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41895,18508;44004,78512;46114,38517;48223,98521;98,64657318;1;250000;37675,985
0,24;34,38874926;41906,60112;72,98409504;0;0;9,587533664;0;0;0;41144,2858;0;0;762,3153231;0;4,09E-12;-3,74E-10;28,75337688;0;0;5,635372384;0;0;0;75,49658237;0;0;6,857339165;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41906,60112;44016,20116;46125,80121;48235,40125;98,64116171;1;250000;37687,40104
0,25;35,38228119;41919,81026;72,98409504;0;0;14,02528823;0;0;-1,58E-16;41144,2858;0;0;775,5244579;0;0;0;28,75337688;0;0;6,628904312;0;0;0;75,49658237;0;0;4,291101829;0;0;0;4450412,336;0;0;0;0;0;0;;4450412,336;2109,600042;41919,81026;44029,4103;46139,01034;48248,61038;98,63490028;1;250000;37700,61017
0,26;35,21888866;41791,71493;72,98409504;0;0;11,87567266;0;0;0;41144,2858;2,77E-10;0;647,4291305;0;4,09E-12;-3,74E-10;28,75337688;0;0;6,465511783;0;0;0;75,49658237;0;0;5,172717638;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41791,71493;43901,31497;46010,91501;48120,51506;98,69562047;1;250000;37572,51485
