name;tot_cap;indiv_cap;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_factor;W2_factor;W3_factor;W4_factor;W5_factor;W6_factor;W7_factor
zero;250000;54166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;inf;inf;inf;inf;inf;inf;inf
under_cap;250000;54166;113.8865708578594;242339.1032065078;72.984; 47.067; 0.0; 0.0; 47.84; 62.6; 50.34;39942.14066063432; 53520.26643866578; 0.0; 0.0; 50477.35250528395; 47852.04970749009; 50547.29389443364;28.75;12.60;0.0;0.0;21.56;24.75;18.54;-0.5717791268190656; 0.35066988712487956;inf;inf; 0.7237895962856054; -0.6669696591132893; 0.011609216584641101
w2_off;265000;54166;0;264968.390761;67.36;26.959;56.179;23.773;53.227;57.781;53.429;38615.85288;21830.576902;42377.248098;9761.626356;57257.797622;45162.580649;49962.708254;;;;;;;;;;;;;;
over_cap_old;265000;54166;98.36471181965516;261634.21879665696;0.0; 41.55; 52.85; 0.0; 47.12; 62.596000000000004; 54.11;0.0; 48688.24658038688; 53935.91564211472; 0.0; 53174.59453148748; 51776.45849616793; 54059.00354649994;;;;;;;;inf; 0.5935134527935493; 0.5211451505117591;inf; 1.061862884335805; 0.009321530020769492; 0.06090783525160881
test;;54166;;;72.984;0;0;31.514;43.537;0;0;;;;;;;;;;;;;;;;;;;;;
over_cap_old2;210000;54166;124.22509115100812;250000.00000;72.984;0; 40.0; 22.524; 53.228; 62.606; 53.429;41831.55805665668; 0.0; 37738.464590830336; 7967.399093324941; 54166.00000000098; 54130.5782591918; 54166.00000000123;28.753375175263123; 0.0; 18.38467788696289; 8.31471987080921; 24.397266480338487; 24.756636326307984; 19.618415411326424;;;;;;;
over_cap;220000;54166;118.96217129675581;194538.77432847986;72.984;0; 62.157; 31.537; 58.448; 62.606;0;41222.710062142665; 0.0; 50705.64815133124; 13689.049333753035; 38111.2502836002; 50810.11649765272; 0.0;28.753332992553712; 0.0; 26.591819196128842; 12.525844880676269; 26.3898522676432; 24.7013219597538; 0.0;0.037311035556956675;inf; -0.10504786690568053; -1.8362112235005208; -1.3461213233482072; -0.15792311486187857;inf
