,choke,choke_num,choke_sem,gas,gas_num,gas_sem,gaslift_rate,gaslift_rate_num,gaslift_rate_sem,oil,oil_num,oil_sem,prs_dns,prs_dns_num,prs_dns_sem,prs_ups,prs_ups_num,prs_ups_sem,time,time_ms_begin,time_ms_end,water,water_num,water_sem,well
228,45.400001525878906,1.0,0.0,216294.60167450635,481,39514.513779348956,125009.24084920023,481,30.273871776115868,126.93741239223972,464,1.88984785853974,13.8069597127845,478.0,0.008002252755041647,21.212582300416425,472.0,0.05927638013889107,2017-04-25 13:00:00+00:00,1493125200000,1493139601000,58.4407980735809,257,1.8355738192991027,A5
229,44.573151153368755,169.0,0.0016249901000695024,553701.1380332599,466,26551.049022815347,125615.40239021438,471,226.71772346319165,131.3040447016145,419,1.671422108874009,13.874041610469792,466.0,0.010337126602945463,21.531070863161837,465.0,0.04402872579990466,2017-05-08 10:00:00+00:00,1494237600000,1494252001000,68.2899160414151,260,1.130552593918282,A5
230,,0.0,,522335.75822807744,476,78417.16410918708,125114.59287344398,478,19.011720171442093,141.19613654984093,436,2.97266905855251,13.517337051900068,475.0,0.006815464960044816,18.492597023976487,458.0,0.026492554949060186,2017-05-25 17:00:00+00:00,1495731600000,1495746001000,77.02425625529736,276,3.0193570587521945,A5
231,,0.0,,219197.17761251726,525,13281.191857170896,125053.51341583146,527,15.140152752166241,125.45592129665285,517,3.2175045558545055,13.637135128049794,525.0,0.007695386089586985,18.162678550656988,482.0,0.007093423022886782,2017-06-11 13:00:00+00:00,1497186000000,1497200401000,62.101966062586435,305,1.053218713491672,A5
232,55.300000000000054,1.0,5.801582115295166e-15,0.0,1,0.0,124911.03700414937,481,112.14613175718429,124.05526678579349,483,0.5621311791686068,13.649021850165974,478.0,0.004298499323982196,18.191869474547584,449.0,0.006546236475913842,2017-07-01 23:00:00+00:00,1498950000000,1498964401000,65.51153564435326,307,1.6584342510255643,A5
233,60.37278699861694,189.0,0.000635666028038618,,0,,124944.26369128632,478,25.413025314498224,126.82918251771463,470,1.8839605831527508,13.827942010212496,468.0,0.0055272010054787666,17.409569015236034,430.0,0.005522828213534918,2017-07-26 22:00:00+00:00,1501106400000,1501120801000,37.48833155077275,193,1.514239230809706,A5
234,60.37530013831265,180.0,0.0019461859925195928,,0,,125044.03316616877,479,57.56910160097633,102.60299677069158,464,1.0119133531522009,13.723487580954355,469.0,0.005764492488298805,17.248652828947442,427.0,0.0060098438678265545,2017-08-05 19:00:00+00:00,1501959600000,1501974001000,56.173516771341625,217,0.9374494572825477,A5
235,,0.0,,1109936.058990318,480,30981.964577243598,110113.34835753804,479,39.57344361732994,303.3896265560166,474,1.5437185865329692,14.771444655566517,458.0,0.013023471551104707,17.48780119678928,467.0,0.01377247510535584,2016-04-19 15:00:00+00:00,1461078000000,1461092401000,146.48208852005533,455,0.7990812684817682,B6
236,27.253872693326958,225.0,0.0018961841712797952,140804.50262793916,468,1336.5741835205326,109850.4573305671,473,88.7274738480794,386.97835408022127,364,6.584111369166091,21.646386211376797,470.0,0.020180902438859442,24.03573748870239,471.0,0.06207643089219189,2016-05-21 09:00:00+00:00,1463821200000,1463835601000,201.62420470262794,358,2.972681962417672,B6
237,,0.0,,724206.1134064414,482,86932.19524557333,110025.84643351116,481,46.17074619414318,356.0012052953962,475,1.4139744903952356,14.585050182575563,460.0,0.005456616951282496,17.77922576831648,469.0,0.018085802652569597,2016-08-05 07:00:00+00:00,1470380400000,1470394801000,194.42987551867222,476,2.130612687031297,B6
