Unnamed: 0,choke,choke_num,choke_sem,gas,gas_num,gas_sem,gaslift_rate,gaslift_rate_num,gaslift_rate_sem,oil,oil_num,oil_sem,prs_dns,prs_dns_num,prs_dns_sem,prs_ups,prs_ups_num,prs_ups_sem,time,time_ms_begin,time_ms_end,water,water_num,water_sem,well
0,,,,78739.9247724866,467,947.1293666570633,66215.0379189691,473.0,30.37681275204748,122.81376797695377,189,4.720777798159668,,,,,,,2016-04-16 08:00:00+00:00,1460793600000,1460808001000,84.97246988026764,219,3.3557934435322796,C3
1,,,,76730.47711980247,464,1508.8954329238254,61433.67826379053,475.0,17.75214905909122,123.4593791379177,176,4.751509908145452,,,,,,,2016-05-01 02:00:00+00:00,1462068000000,1462082401000,98.89611075880451,224,3.7145480976682177,C3
2,,,,91895.54992976316,478,1135.3414241475812,72887.03164098518,475.0,35.563071554976204,147.98726609473118,231,6.168883937275008,,,,,,,2016-05-22 12:00:00+00:00,1463918400000,1463932801000,104.0651096312007,314,2.676778704619562,C3
3,,,,86506.9265824905,471,919.1181918894832,71324.80715659577,473.0,86.85616096620348,123.42527380421338,191,5.267200324758057,,,,,,,2016-06-01 13:00:00+00:00,1464786000000,1464800402000,90.0087713642349,228,2.4543221464325247,C3
4,,,,130994.82685258168,959,424.23793889818154,89164.44842499703,951.0,318.2556743128245,255.31867716485664,907,2.4513409423909294,,,,,,,2016-07-24 20:00:01+00:00,1469390401000,1469419201000,239.39176645032938,959,4.3656501458647385,C3
5,,,,104100.09443234174,471,1220.288015106826,84447.27625434028,476.0,28.150420532862892,137.6863054180145,163,5.77833465570891,,,,,,,2016-08-10 19:00:01+00:00,1470855601000,1470870001000,98.72071141709884,260,2.279536614478172,C3
6,,,,88945.80714406098,929,754.2733305124949,72052.95370753956,947.0,128.9762670912483,124.26381392355957,363,2.011918263332801,,,,,,,2016-08-13 08:00:01+00:00,1471075201000,1471104000000,99.00140477751556,510,1.6707798425238631,C3
7,,,,93375.1126353624,465,1001.4431106815903,72118.48766426551,424.0,14.875261872156448,128.71208200557365,189,4.03325748154544,,,,,,,2016-08-24 16:00:13+00:00,1472054413000,1472068816000,101.0670632510384,283,2.8189827643278216,C3
8,,,,92228.65970449633,476,1612.4411163479856,73678.03759331598,475.0,16.89147192693042,127.43435633353062,164,5.252734127208684,,,,,,,2016-09-13 09:00:03+00:00,1473757203000,1473771601000,104.5222290737927,284,4.1882273718137535,C3
9,,,,88694.10596541039,471,808.2947890582477,72780.64004712303,475.0,50.59207991874327,113.06099870051773,185,3.6296036511197727,,,,,,,2016-09-23 14:00:02+00:00,1474639202000,1474653601000,94.52570404462514,283,2.884260232277493,C3
10,,,,89341.99761572873,477,1318.811275703993,73171.02991754073,473.0,7.7449158329734065,110.74605190770424,183,5.991043380893736,,,,,,,2016-10-03 21:00:00+00:00,1475528400000,1475542801000,88.32141450810323,253,4.231799601952529,C3
11,,,,87682.39489734996,469,1340.2837721369322,73364.22413222745,473.0,31.173213985644026,108.22310607732166,180,3.849490023495826,,,,,,,2016-10-21 03:00:00+00:00,1477018800000,1477033201000,102.91135889478079,295,5.45947650956492,C3
12,,,,83739.99531222874,469,919.096993599816,71244.77229468936,476.0,32.43139237250968,102.59904690488344,169,4.051651554242142,,,,,,,2016-11-12 01:00:02+00:00,1478912402000,1478926813000,97.75679619668968,278,4.72998559062196,C3
13,,,,83415.31525710374,474,977.1620647647992,70028.95304960589,477.0,76.35917546314221,102.18025640954535,161,3.3949986241621413,,,,,,,2016-11-26 13:00:00+00:00,1480165200000,1480179605000,92.63292520216663,244,4.499361794875654,C3
14,,,,112998.00780169436,480,878.6589536637857,97778.52388871393,475.0,24.872148076676268,102.63223513851193,167,4.896662193069883,,,,,,,2016-12-03 14:00:00+00:00,1480773600000,1480788003000,84.59991538588106,264,2.070314226037781,C3
15,,,,104913.47801237703,478,1011.6061866079576,90705.63006677905,476.0,28.60977453612701,104.78235241730349,164,4.896283114651437,,,,,,,2016-12-16 03:00:00+00:00,1481857200000,1481871601000,88.35131346276289,298,3.1997498522841386,C3
16,,,,112738.55114573274,477,648.6470854045036,95425.54375271266,472.0,18.581458620693965,115.79376222131151,194,4.11042466264374,,,,,,,2016-12-31 10:00:03+00:00,1483178403000,1483192801000,98.3973721622924,358,2.4057713034970942,C3
17,,,,112274.95254270274,479,846.5339094627274,98934.12377821184,415.0,49.50407914213911,99.17883550810318,154,3.7803724652827686,,,,,,,2017-01-21 16:00:01+00:00,1485014401000,1485028802000,90.47782717227106,343,2.9637321755972703,C3
18,,,,102927.84269158477,477,724.4147402148659,89167.0446468099,475.0,42.30617995578282,96.69417127337515,171,3.705183408361814,,,,,,,2017-01-26 05:00:01+00:00,1485406801000,1485421201000,92.8720192527038,365,1.942661911577641,C3
19,,,,112733.027831778,7539,844.8657838969248,92981.69949051262,6578.0,43.7613264552997,128.7016908715384,2556,4.246241943198873,,,,,,,2017-02-24 01:00:00+00:00,1487898000000,1487912401000,98.08791938800863,3576,3.243762168885659,C3
20,,,,102775.41888123825,12255,1258.31356214597,87723.9353793871,8711.0,57.76991780268448,97.04262628123422,4840,4.260487644654013,,,,,,,2017-03-26 17:00:00+00:00,1490547600000,1490562001000,95.4262159382489,3913,4.879930917371209,C3
21,,,,105347.47799154467,9525,1002.0400613805208,89250.16283119381,7410.0,74.87787976437781,109.88749609534342,5218,2.7053950909220768,,,,,,,2017-04-07 23:00:00+00:00,1491606000000,1491620401000,108.34364426494221,3713,4.000695469182007,C3
