;W1_oil_X;W1_oil_mean;W1_oil_var;W2_oil_X;W2_oil_mean;W2_oil_var;W3_oil_X;W3_oil_mean;W3_oil_var;W4_oil_X;W4_oil_mean;W4_oil_var;W5_oil_X;W5_oil_mean;W5_oil_var;W6_oil_X;W6_oil_mean;W6_oil_var;W7_oil_X;W7_oil_mean;W7_oil_var
29;29;6.671029090881348;4.811165809631348;29;6.722212;1.3548126;29;10.9447021484375;2.9914474487304688;29;10.58942699432373;2.0822799205780043;29;11.677139;1.7365062;29;10.68132781982422;2.301215171813965;29;8.53730297088623;2.946784257888794
30;30;7.238523006439209;4.765668869018555;30;7.1296215;1.4196388999999998;30;11.544452667236328;4.020277023315431;30;11.789257049560547;2.299160480499268;30;12.228007;1.7770847;30;11.383768081665039;2.3758835792541504;30;9.519784927368164;2.8956282138824463
31;31;7.806017398834228;4.680441379547119;31;7.699617;1.4591326;31;12.167102813720705;3.571425199508667;31;14.437419891357422;3.4055204391479488;31;12.60978;1.9227171;31;12.086207389831545;2.4920504093170166;31;10.647727012634276;2.5398173332214355
32;32;8.37351131439209;4.499069690704347;32;8.567235;1.5603846;32;12.858907699584961;3.3531365394592285;32;14.652033805847168;3.3691751956939697;32;13.208941;1.8972949;32;12.725606918334961;2.517430543899536;32;11.775670051574707;3.2215039730072017
33;33;8.94100570678711;4.0937557220458975;33;9.540266;1.6837538;33;13.56602954864502;3.665904045104982;33;14.78402042388916;3.3337032794952406;33;13.704278;1.943548;33;13.11870002746582;2.640924453735352;33;12.590831756591795;3.8868803977966313
34;34;9.508498191833496;4.55663013458252;34;10.274517;1.6616999;34;14.27315616607666;3.545465469360352;34;14.916007995605467;3.368768215179444;34;14.3081875;2.0916414;34;13.51179313659668;2.616816997528076;34;13.456958770751953;3.717085838317871
35;35;10.084117889404297;4.496007919311523;35;10.35269;1.6400441000000003;35;14.98027801513672;5.1466169357299805;35;15.047993659973145;3.3835034370422363;35;14.839266;2.110276;35;13.904886245727539;2.832150220870972;35;14.606678009033205;5.900822162628174
36;36;10.671731948852539;3.9537672996521;36;10.456414;1.5746504;36;15.68740177154541;4.721258163452148;36;15.179981231689453;3.3740439414978027;36;15.322084;2.0759342;36;14.297977447509766;2.918027639389038;36;15.105192184448242;6.792573928833008
37;37;11.272579193115234;4.562538623809815;37;10.5372305;1.5273396;37;16.394523620605472;4.287880420684815;37;15.63869571685791;3.3524169921875;37;16.01799;2.1309733;37;14.691069602966307;3.0173144340515137;37;15.357065200805664;4.8672518730163565
38;38;11.88422679901123;4.1512298583984375;38;10.655002;1.4654077;38;17.101648330688473;5.669862747192383;38;16.510313034057614;3.3173930644989014;38;16.346764;2.1632276;38;15.084163665771484;2.9474573135375977;38;15.60894012451172;5.942176342010497
39;39;12.495878219604492;4.141812801361084;39;10.804745;1.4264543;39;17.805932998657227;6.783485412597656;39;17.595775604248047;2.467918872833252;39;17.0082;2.1863544;39;15.477255821228027;3.0341095924377437;39;15.86067008972168;6.7959632873535165
40;40;13.107528686523438;4.74879789352417;40;10.854107;1.4124668;40;18.38467788696289;6.045834541320801;40;16.58163070678711;1.878089904785156;40;17.410791;2.3499084;40;15.87034797668457;3.155369281768799;40;15.927203178405762;5.544977188110352
41;41;13.71917724609375;5.001673221588135;41;11.012361;1.3389932;41;18.452713012695312;4.5238919258117685;41;15.198932647705078;1.3038657903671265;41;18.05014;2.3425288;41;16.26344108581543;3.253309965133667;41;15.993739128112793;4.664703369140625
42;42;14.330830574035645;4.124614715576172;42;11.226988;1.2455923999999998;42;18.381576538085934;5.615305423736572;42;13.896867752075195;0.9470039010047911;42;18.317999;2.4919472;42;16.65653419494629;3.3027150630950928;42;16.060274124145508;6.178621292114258
43;43;14.94248104095459;3.953730821609497;43;11.3939495;1.2771496;43;18.432933807373047;5.3269548416137695;43;13.64201831817627;0.7558781504631042;43;19.154215;2.417479;43;17.049627304077152;3.517268419265747;43;16.12681007385254;4.708317279815674
44;44;15.542348861694336;4.535975456237793;44;11.718736;1.2871318;44;18.10194396972656;6.0008792877197275;44;13.496220588684082;0.690868079662323;44;19.354649;2.607414;44;17.442720413208008;3.479839324951172;44;16.313997268676758;5.401652812957764
45;45;15.998151779174805;5.057530403137207;45;11.952478;1.2740922;45;17.67037582397461;6.091562747955322;45;13.460582733154295;0.4777822792530061;45;20.088058;2.5304224;45;17.8358097076416;3.591712474822998;45;16.664447784423828;4.124432563781738
46;46;16.453954696655273;5.722841262817383;46;12.254963;1.2369064;46;17.89918327331543;5.56532096862793;46;13.504297256469727;0.6559626460075378;46;20.722548;2.6465242;46;18.22890281677246;3.732463598251343;46;17.014894485473633;5.508984088897705
47;47;16.909757614135742;4.29161548614502;47;12.465235;1.2746483999999998;47;18.3726863861084;5.6932878494262695;47;13.708977699279785;0.4700693190097809;47;21.196085;2.6808786;47;18.62199592590332;3.768500804901123;47;17.365339279174805;5.489405632019043
48;48;17.36556053161621;5.3818840980529785;48;12.766401;1.291484;48;18.847145080566406;6.91096305847168;48;13.913658142089846;0.570200502872467;48;21.704853;2.6994455;48;19.01508903503418;3.796589374542236;48;17.715791702270508;5.126944541931152
49;49;17.82136344909668;4.4905362129211435;49;12.967618;1.287744;49;19.321596145629886;5.559229373931885;49;14.118338584899902;0.7014774084091187;49;22.270483;2.8032203;49;19.40818214416504;3.975863695144653;49;18.066238403320312;6.715052127838135
50;50;18.27716445922852;5.21481466293335;50;13.321435;1.2530494;50;19.796052932739254;6.154179096221924;50;14.323019027709961;0.6738871335983276;50;22.701906;2.8619416;50;19.8012752532959;4.007737159729004;50;18.41668701171875;6.690853595733643
51;51;18.732967376708984;6.054224491119385;51;13.627071;1.3158624;51;20.270511627197266;6.421491146087647;51;14.52769947052002;0.5080769062042236;51;23.24895;2.9047465;51;20.194366455078125;4.226807594299316;51;18.767135620117188;6.111849784851074
52;52;19.188770294189453;4.579027652740479;52;13.963104;1.2725619;52;20.744962692260746;4.711188793182373;52;14.732380867004395;0.5680140852928162;52;23.774117;2.8990583;52;20.587459564208984;4.195620536804198;52;19.117582321166992;6.477673530578612
53;53;19.64457130432129;5.6043124198913565;53;14.21069;1.3324428;53;21.21942138671875;5.152902126312256;53;14.937061309814453;0.7875077128410339;53;24.341085;3.024328;53;20.98055076599121;4.35402774810791;53;19.468027114868164;5.922877788543701
54;54;20.10037422180176;6.441201686859131;54;14.492842;1.3636197;54;21.693878173828125;5.59868049621582;54;15.141742706298828;0.7510117888450623;54;24.895895;2.9830391;54;21.37364387512207;4.349558830261231;54;19.818477630615234;5.6640143394470215
55;55;20.556175231933594;4.083685874938965;55;14.752424;1.376099;55;22.168333053588867;6.107884883880615;55;15.346423149108887;0.7430716156959534;55;25.48373;3.1066267;55;21.76673698425293;4.533456325531006;55;20.168922424316406;4.6781005859375
56;56;21.01198005676269;5.260472297668457;56;15.15449;1.3786877;56;22.661361694335927;5.0921478271484375;56;15.551103591918945;0.8287934660911559;56;25.838156;3.2602649;56;22.15983009338379;4.620290756225586;56;20.519371032714844;5.439088344573975
57;57;21.4677848815918;5.940624713897705;57;15.263229;1.5278116000000002;57;23.29973602294922;4.415330410003662;57;15.75578498840332;0.7752443552017212;57;26.449022;3.2332246;57;22.55292320251465;4.777669429779053;57;20.869815826416016;5.208662509918213
58;58;21.923583984375;7.09288215637207;58;15.726415;1.3846526;58;23.93810272216797;5.315032958984375;58;15.964824676513672;0.9655752778053284;58;27.019047;3.2505586;58;22.946014404296875;5.019402980804443;58;21.22026824951172;6.733057498931885
59;59;22.3793888092041;6.029824256896973;59;15.887678;1.4891862;59;24.57648277282715;6.7197813987731925;59;16.177085876464847;0.9834062457084656;59;27.487024;3.4126542;59;23.3391056060791;5.0267372131347665;59;21.570711135864254;6.946143627166747
60;60;22.83519172668457;7.195389747619629;60;16.292616;1.4833537;60;25.2148494720459;6.157841205596924;60;16.389350891113278;1.0666977167129517;60;27.954832;3.5279193;60;23.732200622558594;5.14961576461792;60;21.92115974426269;6.241518497467041
61;61;23.29099273681641;6.3536224365234375;61;16.62645;1.4864025;61;25.85322570800781;5.7701778411865225;61;16.601612091064453;1.1673147678375244;61;28.40703;3.5513678;61;24.12529182434082;5.254414081573486;61;22.271610260009766;6.850656509399414
62;62;23.746795654296875;7.468263149261475;62;16.702272;1.6741253;62;26.49159812927246;6.704477310180664;62;16.813875198364258;1.3327360153198242;62;28.978098;3.5460548;62;24.51838493347168;5.369295120239258;62;22.622058868408203;5.634661674499513
63;63;24.202600479125977;7.241306781768799;63;17.151726;1.5347425;63;27.12997055053711;6.186585903167725;63;17.026138305664062;1.0261093378067017;63;29.656105;3.7042572;63;24.911476135253906;5.589643955230713;63;22.97250556945801;7.347508907318115
64;64;24.658403396606445;6.2529335021972665;64;17.531694;1.5773146999999998;64;27.76834487915039;6.41808557510376;64;17.238399505615234;1.3238577842712402;64;30.131567;3.7821383;64;25.3045711517334;5.586867809295653;64;23.322954177856445;6.732555866241455
65;65;25.114206314086914;7.973275661468506;65;17.823341;1.6471349999999998;65;28.40671730041504;6.56383752822876;65;17.45066261291504;1.4030985832214355;65;30.42738;3.9183528;65;25.697664260864247;5.745400905609131;65;23.67340087890625;6.719321250915527
66;66;25.570009231567386;7.977097034454348;66;18.126596;1.6424319;66;29.04508781433105;6.481853485107423;66;17.662925720214844;1.5166518688201904;66;30.937757;4.196641;66;26.09075355529785;5.767628192901611;66;24.023845672607425;7.561755180358888
67;67;26.02581024169922;8.200231552124022;67;18.322733;1.7490674;67;29.68346405029297;7.768772602081299;67;17.875186920166016;1.5552549362182615;67;31.82336;3.9806056;67;26.483850479125977;6.01145601272583;67;24.37429618835449;5.472585678100586
68;68;26.48161315917969;6.917320728302003;68;18.584644;1.8312078;68;30.32183265686035;6.36629056930542;68;18.08745002746582;1.492068648338318;68;32.08079;4.1715674;68;26.87693977355957;6.277740955352782;68;24.724742889404297;6.459798336029053
69;69;26.937414169311523;7.9859514236450195;69;18.934711;1.8764712;69;30.96020126342773;6.84156608581543;69;18.299713134765625;1.6455975770950315;69;32.82351;3.9923759;69;27.27003288269043;6.263808727264402;69;25.0751895904541;7.4396910667419425
70;70;27.39321708679199;7.4351439476013175;70;19.222542;1.8137659;70;31.598575592041016;6.03510332107544;70;18.5119743347168;1.8300683498382568;70;33.124508;4.2273507;70;27.66312599182129;6.621902942657473;70;25.42563819885254;7.253610134124756
71;71;27.84902381896973;6.413782596588135;71;19.657429;1.8367308;71;32.236949920654304;6.350594997406006;71;18.724239349365234;1.668801188468933;71;33.733456;4.386374;71;28.05621910095215;6.552699089050293;71;25.77608299255371;7.02955961227417
72;72;28.30482292175293;8.279568672180176;72;19.765116;1.8305061;72;32.87532424926758;8.58012580871582;72;18.936500549316406;1.9013838768005369;72;34.125862;4.4666057;72;28.44931221008301;6.993916034698486;72;26.127033233642567;6.242464065551758
73;73;28.7606258392334;7.651601314544678;73;20.262531;1.8891534;73;33.51369857788086;7.676007747650146;73;19.14876365661621;1.723473310470581;73;34.415344;4.6548095;73;28.842403411865234;7.099971294403076;73;26.47825050354004;6.134552478790282
74;74;29.21642875671387;8.303071975708008;74;20.620277;1.7601897000000002;74;34.152069091796875;8.440171241760254;74;19.361026763916016;2.041321277618408;74;35.186672;4.724063;74;29.23549461364746;7.264137268066406;74;26.82945442199707;6.5377044677734375
75;75;29.672229766845703;8.900873184204102;75;20.697168;1.9001559;75;34.79043960571289;7.7187066078186035;75;19.573287963867188;1.7479033470153809;75;35.373203;4.8226523;75;29.628589630126953;7.436699390411378;75;27.180625915527344;7.507387161254883
76;76;30.12803649902344;8.627363204956055;76;20.818666;2.2253130000000003;76;35.42881393432617;8.384578704833983;76;19.785551071166992;2.1109225749969482;76;36.47734;4.6917214;76;30.02168083190918;7.403585433959961;76;27.531795501708984;8.729476928710938
77;77;30.58383369445801;8.818767547607422;77;21.32777;2.0743482;77;36.06718826293945;6.8242735862731925;77;19.9978141784668;2.0149378776550293;77;36.82277;5.026604;77;30.41477394104004;7.842400074005128;77;27.882966995239247;8.358878135681152
78;78;31.039640426635746;7.177901268005371;78;21.621284;2.1251981;78;36.7055549621582;8.976408958435059;78;20.21007537841797;1.9306919574737549;78;37.293346;5.1203876;78;30.807865142822266;7.960091114044189;78;28.234140396118164;5.828245162963867
79;79;31.495439529418945;8.926932334899902;79;21.934298;2.0749989;79;37.34392929077149;7.109875202178955;79;20.422338485717773;2.164906740188598;79;37.98499;4.913041;79;31.20096015930176;8.117996215820312;79;28.58531188964844;7.407683372497559
80;80;31.95124244689941;10.07659149169922;80;22.11844;2.2551873;80;37.9823112487793;6.79615592956543;80;20.634601593017575;2.3149759769439697;80;38.503628;5.0086527;80;31.59404945373535;8.779728889465332;80;28.936481475830078;7.7205047607421875
81;81;32.407039642333984;9.627599716186523;81;22.384153;2.2761474;81;38.62067794799805;6.854999542236327;81;20.84686279296875;1.9937957525253296;81;38.94966;5.241676;81;31.98714256286621;8.590092658996582;81;29.28765296936035;7.314043521881103
82;82;32.86284637451172;8.784976005554201;82;22.873877;2.2954743;82;39.25905227661133;8.419930458068848;82;21.059125900268555;2.164129734039306;82;39.748844;5.2091203;82;32.380237579345696;8.637273788452147;82;29.63882255554199;7.5390992164611825
83;83;33.318649291992195;10.750835418701172;83;23.12809;2.2966156000000004;83;39.90619659423828;8.865972518920898;83;21.27138900756836;1.8974310159683228;83;40.291836;5.401281;83;32.773330688476555;8.936589241027832;83;29.989992141723643;7.246713161468506
84;84;33.77444839477539;10.352959632873537;84;23.626188;2.202242;84;40.55537796020508;7.732614517211914;84;21.483652114868164;1.970106601715088;84;40.622528;5.48868;84;33.16642379760742;8.763954162597656;84;30.341163635253906;8.023603439331055
85;85;34.230255126953125;10.157903671264648;85;23.716482;2.4333062;85;41.204551696777344;8.336464881896973;85;21.69591522216797;2.3749659061431885;85;41.078484;5.5268035;85;33.55951690673828;9.133722305297852;85;30.69233703613281;9.23056411743164
86;86;34.686058044433594;9.538949966430664;86;24.078695;2.3341765;86;41.853736877441406;10.174839973449707;86;21.90817642211914;2.2855653762817383;86;41.6741;5.6725054;86;33.95261001586914;9.773333549499512;86;31.04350852966309;7.189758777618407
87;87;35.141860961914055;12.434245109558105;87;24.463726;2.4096682;87;42.50299453735352;8.647661209106445;87;22.120439529418945;2.355034828186035;87;42.46856;5.638875;87;34.34569931030273;9.690876960754396;87;31.39468193054199;7.7554426193237305
88;88;35.597660064697266;11.19120979309082;88;24.65719;2.4732404;88;43.15265655517578;7.964766025543213;88;22.33270263671875;2.4702832698822017;88;42.92572;5.956796;88;34.73878860473633;10.181599617004396;88;31.745849609375;8.813993453979492
89;89;36.053466796875;10.655982971191406;89;24.916885;2.5345156;89;43.80232238769531;9.612759590148926;89;22.544963836669922;2.4118022918701167;89;43.44107;6.117927;89;35.131885528564446;10.237523078918457;89;32.097023010253906;8.179070472717285
90;90;36.5092658996582;13.812256813049315;90;25.22565;2.57741;90;44.45198822021485;9.443607330322266;90;22.75722694396973;2.669209241867065;90;43.76693;6.3342834;90;35.52497863769531;10.432950019836426;90;32.448192596435554;10.136260986328123
91;91;36.96507263183594;13.435650825500488;91;25.509457;2.4254515;91;45.10165786743164;11.390646934509276;91;22.96949005126953;2.6822867393493652;91;44.33695;6.1700387;91;35.91807174682617;10.695197105407717;91;32.799365997314446;6.3566131591796875
92;92;37.42086791992188;13.13066291809082;92;25.689985;2.7737868;92;45.7513313293457;9.668662071228027;92;23.181751251220703;2.713216543197632;92;45.00234;6.601083;92;36.31116485595703;11.235491752624512;92;33.15053939819336;8.895512580871582
93;93;37.87667465209961;11.066865921020508;93;26.229881;2.5974457;93;46.40098571777344;10.004434585571287;93;23.39401626586914;2.509936809539795;93;45.396053;6.700983;93;36.70425796508789;11.689191818237305;93;33.501708984375;8.750612258911133
94;94;38.33247756958008;13.433834075927734;94;26.286812;2.743327;94;47.05065536499024;9.819677352905273;94;23.60627746582031;2.684504270553589;94;45.916138;6.712554;94;37.09734725952149;11.318568229675293;94;33.85287857055664;7.7878174781799325
95;95;38.78828048706055;11.698686599731445;95;26.801636;2.7637393;95;47.7003288269043;9.658712387084961;95;23.818538665771484;2.858167886734009;95;46.486286;6.925505;95;37.49044036865234;12.04353141784668;95;34.204051971435554;9.118535041809082
96;96;39.24407958984375;15.657705307006836;96;27.33465;2.597979;96;48.34999465942383;9.22860050201416;96;24.030803680419922;2.6958701610565186;96;46.852154;6.9493265;96;37.88352966308594;12.461676597595215;96;34.555221557617195;7.645997524261475
97;97;39.69988250732422;9.108985900878906;97;27.547884000000003;2.71923;97;48.99965286254883;10.642291069030762;97;24.24306488037109;2.9953761100769043;97;47.576233;6.806548;97;38.2766227722168;12.500191688537598;97;34.90639495849609;5.033252716064453
98;98;40.15568923950195;13.828975677490234;98;27.83449;2.6831472;98;49.64932250976562;8.922110557556152;98;24.455326080322266;3.021026134490967;98;48.0601;7.2784133;98;38.66971969604492;12.8074369430542;98;35.25756072998047;8.045160293579103
99;99;40.61149215698242;15.172032356262207;99;28.132679;2.7557309;99;50.29899597167969;11.09005641937256;99;24.667591094970703;3.118601560592652;99;48.327705;7.1669617;99;39.06280899047852;13.282803535461426;99;35.60884094238281;8.970824241638184
100;100;41.06728744506836;13.601962089538574;100;28.63518;2.631548;100;50.94866561889648;9.500201225280762;100;24.879852294921875;2.82122802734375;100;48.832405;7.4119024;100;39.455902099609375;14.008583068847654;100;35.9610481262207;10.968132019042967
