;switch-off penalty
0;112.02281669983276
1;112.02281669983276
2;112.02281669983276
3;112.02281669983276
4;112.02281669983276
5;112.02281669983276
6;112.02281669983276
7;112.02281669983276
8;112.02281669983276
9;112.02281669983276
10;112.02281669983276
11;112.02281669983276
12;112.02281669983276
13;112.02281669983276
14;112.02281669983276
15;112.02281669983276
16;112.02281669983276
17;112.02281669983276
18;112.02281669983276
19;112.02281669983276
20;112.02281669983276
21;112.02281669983276
22;90.8434922064473
23;112.02281669983276
24;112.02281669983276
25;112.02281669983276
26;112.02281669983276
27;112.02281669983276
28;112.02281669983276
29;112.02281669983276
30;112.02281669983276
31;112.02281669983276
32;112.02281669983276
33;112.02281669983276
34;112.02281669983276
35;112.02281669983276
36;112.02281669983276
37;112.02281669983276
38;112.02281669983276
39;112.02281669983276
40;112.02281669983276
41;112.02281669983276
42;112.02281669983276
43;112.02281669983276
44;112.02281669983276
45;112.02281669983276
46;112.02281669983276
47;112.02281669983276
48;112.02281669983276
49;112.02281669983276
50;112.02281669983276
51;99.1233106746501
52;112.02281669983276
53;112.02281669983276
54;112.02281669983276
55;112.02281669983276
56;112.02281669983276
57;112.02281669983276
58;112.02281669983276
59;112.02281669983276
60;112.02281669983276
61;112.02281669983276
62;112.02281669983276
63;112.02281669983276
64;112.02281669983276
65;112.02281669983276
66;112.02281669983276
67;112.02281669983276
68;112.02281669983276
69;112.02281669983276
70;112.02281669983276
71;112.02281669983276
72;112.02281669983276
73;112.02281669983276
74;112.02281669983276
75;112.02281669983276
76;112.02281669983276
77;112.02281669983276
78;112.02281669983276
79;112.02281669983276
80;112.02281669983276
81;112.02281669983276
82;112.02281669983276
83;112.02281669983276
84;112.02281669983276
85;112.02281669983276
86;112.02281669983276
87;112.02281669983276
88;112.02281669983276
89;112.02281669983276
90;112.02281669983276
91;112.02281669983276
92;112.02281669983276
93;112.02281669983276
94;112.02281669983276
95;112.02281669983276
96;112.02281669983276
97;112.02281669983276
98;112.02281669983276
99;112.02281669983276
100;112.02281669983276
101;112.02281669983276
102;112.02281669983276
103;112.02281669983276
104;112.02281669983276
105;112.02281669983276
106;112.02281669983276
107;112.02281669983276
108;112.02281669983276
109;112.02281669983276
110;112.02281669983276
111;112.02281669983276
112;112.02281669983276
113;112.02281669983276
114;112.02281669983276
115;112.02281669983276
116;112.02281669983276
117;112.02281669983276
118;112.02281669983276
119;112.02281669983276
120;112.02281669983276
121;112.02281669983276
122;112.02281669983276
123;112.02281669983276
124;112.02281669983276
125;112.02281669983276
126;112.02281669983276
127;112.02281669983276
128;112.02281669983276
129;112.02281669983276
130;112.02281669983276
131;112.02281669983276
132;112.02281669983276
133;112.02281669983276
134;112.02281669983276
135;112.02281669983276
136;112.02281669983276
137;112.02281669983276
138;112.02281669983276
139;112.02281669983276
140;112.02281669983276
141;112.02281669983276
142;112.02281669983276
143;112.02281669983276
144;112.02281669983276
145;112.02281669983276
146;112.02281669983276
147;112.02281669983276
148;112.02281669983276
149;112.02281669983276
150;112.02281669983276
151;112.02281669983276
152;112.02281669983276
153;112.02281669983276
154;112.02281669983276
155;112.02281669983276
156;112.02281669983276
157;112.02281669983276
158;112.02281669983276
159;112.02281669983276
160;112.02281669983276
161;112.02281669983276
162;112.02281669983276
163;112.02281669983276
164;112.02281669983276
165;112.02281669983276
166;112.02281669983276
167;112.02281669983276
168;112.02281669983276
169;112.02281669983276
170;112.02281669983276
171;112.02281669983276
172;112.02281669983276
173;112.02281669983276
174;112.02281669983276
175;112.02281669983276
176;112.02281669983276
177;112.02281669983276
178;112.02281669983276
179;112.02281669983276
180;112.02281669983276
181;112.02281669983276
182;112.02281669983276
183;112.02281669983276
184;112.02281669983276
185;112.02281669983276
186;112.02281669983276
187;112.02281669983276
188;112.02281669983276
189;112.02281669983276
190;112.02281669983276
191;112.02281669983276
192;112.02281669983276
193;112.02281669983276
194;112.02281669983276
195;112.02281669983276
196;112.02281669983276
197;112.02281669983276
198;112.02281669983276
199;112.02281669983276
