;scenarios;mean oil;std oil
0;5.0;120.01137640955791;3.0829862260908993
1;10.0;118.03131065533802;1.9935186345495104
2;15.0;116.99974781564192;1.9507612673574457
3;20.0;116.46136894757859;1.9909443774533573
4;25.0;116.05055606052271;1.9676802337696766
5;30.0;115.63703461200143;1.8815719731286793
6;40.0;114.78581172023775;1.8120849921445819
7;50.0;114.27674398677259;1.6425606444595038
8;75.0;113.49935229080224;1.4610660160788358
9;100.0;112.97070253573314;1.3483050205381033
10;125.0;112.5642955315157;1.255519310376282
11;150.0;112.17624624406687;1.23251755376362
12;200.0;111.84367291855878;1.1077079191342742
13;300.0;111.24160062486185;0.8990016676335254
14;400.0;110.87738805425066;0.6855619355107679
15;500.0;110.66246526176245;0.4968409743752856
16;0.0;0.0;0.0
17;0.0;0.0;0.0
18;0.0;0.0;0.0
19;0.0;0.0;0.0
