scenarios;tot_cap;indiv_cap;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_changed;W2_changed;W3_changed;W4_changed;W5_changed;W6_changed;W7_changed
500.0;245000.0;54166.0;109.73929083579337;221751.6219039399;67.36070311696909;25.684584455103654;40.0;0.0;37.686328175731745;51.13266184834776;43.37960174151616;39931.205224749334;18701.163979303034;37702.883392453936;0.0;35092.5605097414;46076.35159090799;44247.45720678423;26.19021887422126;4.312265305786579;18.38467788696289;7.6253981590271;16.211664868793168;20.24651617274252;16.768549568259854;1.0;1.0;1.0;1.0;1.0;1.0;1.0
500.0;245000.0;54166.0;109.73929083579337;221751.6219039399;67.36070311696909;25.684584455103654;40.0;0.0;37.686328175731745;51.13266184834776;43.37960174151616;39931.205224749334;18701.163979303034;37702.883392453936;0.0;35092.5605097414;46076.35159090799;44247.45720678423;26.19021887422126;4.312265305786579;18.38467788696289;7.6253981590271;16.211664868793168;20.24651617274252;16.768549568259854;1.0;1.0;1.0;1.0;1.0;1.0;1.0
500.0;250000.0;54166.0;110.96911259325974;226464.54024497414;67.36070311696909;27.47901341023981;40.0;0.0;37.7988417670225;51.132661848347766;43.37960174151616;39931.205224749334;23217.53072362417;37702.883392453936;0.0;35289.11210645448;46076.351590907994;44247.45720678423;26.19021887422126;5.483773699180523;18.38467788696289;7.6253981590271;16.269978232865597;20.246516172742517;16.768549568259854;1.0;1.0;1.0;1.0;1.0;1.0;1.0
500.0;250000.0;54166.0;110.96911259325974;226464.54024497414;67.36070311696909;27.47901341023981;40.0;0.0;37.7988417670225;51.132661848347766;43.37960174151616;39931.205224749334;23217.53072362417;37702.883392453936;0.0;35289.11210645448;46076.351590907994;44247.45720678423;26.19021887422126;5.483773699180523;18.38467788696289;7.6253981590271;16.269978232865597;20.246516172742517;16.768549568259854;1.0;1.0;1.0;1.0;1.0;1.0;1.0
15.0;250000.0;54166.0;119.94409479368866;239470.05457535773;67.36070311696913;25.361988098856713;40.0;0.0;49.00620323545336;57.58160171792834;50.76426434264647;40238.73770722302;17931.718296244722;36877.07086073064;0.0;45068.21875712626;49515.95724782687;49838.35170620625;26.190218874221273;4.101655497056138;18.38467788696289;7.6253981590271;22.176076703215582;22.781546306560912;18.684521366644766;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0;250000.0;54166.0;120.71328040851358;250000.0;67.36070311696906;0.0;40.0;24.564007715841566;53.22745928714491;57.7810089111328;53.42912755019576;40354.13228149835;-6.766640581190586e-10;37738.464590829695;11652.561257596351;54166.0;51922.841870076285;54166.0;26.190218874221245;0.0;18.38467788696289;9.262769969645579;24.397266480338498;22.859931786019004;19.618415411326374;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0;250000.0;54166.0;120.71328040851358;250000.0;67.36070311696906;0.0;40.0;24.564007715841566;53.22745928714491;57.7810089111328;53.42912755019576;40354.13228149835;-6.766640581190586e-10;37738.464590829695;11652.561257596351;54166.0;51922.841870076285;54166.0;26.190218874221245;0.0;18.38467788696289;9.262769969645579;24.397266480338498;22.859931786019004;19.618415411326374;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0;250000.0;54166.0;120.71328040851358;250000.0;67.36070311696906;0.0;40.0;24.564007715841566;53.22745928714491;57.7810089111328;53.42912755019576;40354.13228149835;-6.766640581190586e-10;37738.464590829695;11652.561257596351;54166.0;51922.841870076285;54166.0;26.190218874221245;0.0;18.38467788696289;9.262769969645579;24.397266480338498;22.859931786019004;19.618415411326374;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0;250000.0;54166.0;120.71328040851267;250000.0;67.36070311696906;0.0;40.000000000000114;24.56400771584157;53.22745928714491;57.78100891113281;53.42912755019576;40354.132281498976;0.0;37738.464590830445;11652.561257592202;54166.00000000101;51922.841870077355;54166.0;26.19021887422124;0.0;18.384677886962912;9.262769969645227;24.397266480338498;22.859931786019004;19.6184154113258;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0;250000.0;54166.0;120.71328040851358;250000.0;67.36070311696906;0.0;40.0;24.564007715841566;53.22745928714491;57.7810089111328;53.42912755019576;40354.13228149835;-6.766640581190586e-10;37738.464590829695;11652.561257596351;54166.0;51922.841870076285;54166.0;26.190218874221245;0.0;18.38467788696289;9.262769969645579;24.397266480338498;22.859931786019004;19.618415411326374;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0;250000.0;54166.0;73.73171563946258;148686.13228149829;67.36070311696906;0.0;56.17882093907111;0.0;53.22745928714525;0.0;0.0;40354.132281498285;0.0;54166.0;0.0;54166.0;0.0;0.0;26.19021887422124;0.0;23.144230284902648;0.0;24.39726648033868;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
