scenarios;tot_cap;indiv_cap;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean
100.0;250000.0;54166.0;99.09366942097365;212841.14550722804;56.133912402153925;0.0;36.39850507653297;31.14093352961325;39.55169441910606;43.77082603743967;34.246065891531245;38095.188099532395;0.0;34467.368434120675;26298.978387072497;38107.741439811056;41807.04202898271;34064.8271177087;21.073019407653433;0.0;15.969194734890412;14.538648441778335;16.420310765730985;17.352632062082172;13.739864008838321
1.0;250000.0;54166.0;107.56204285314402;245745.31476666933;56.1339192641409;33.169024752325264;36.39850125097484;31.1409335296135;33.993088342142194;48.150840759277344;34.24606589153124;37844.6671112031;38593.82272685079;34183.23213285005;26823.531982104876;28883.05929085392;44850.893906950514;34566.10761585607;21.073022528989416;10.349119123897808;15.969191351872432;14.538648441778351;12.81781410790133;19.074383289866304;13.739864008838381
100.0;250000.0;54166.0;93.27646757366419;212025.07093872037;56.13391926414087;25.86342187582843;29.871304574332157;31.14093352961322;33.99308834214182;36.59941183965918;34.24606589153121;37903.0687454933;20170.01574246535;24649.563164748597;26770.861261994225;28805.136062533977;38912.413244327494;34814.01271715741;21.073022528989398;5.106245848149305;11.467268086871995;14.538648441778337;12.817816208525672;14.533602450511218;13.739864008838273
100.0;250000.0;54166.0;97.15218108366628;213362.16330880573;56.1339192641409;0.0;38.62442986329344;31.14093352961379;37.28784712962767;36.599411839658536;34.24606589153127;37640.79527531053;0.0;37562.34383633783;26482.705639393695;37756.48291517269;39082.68445055176;34837.15119203926;21.073022528989405;0.0;17.5431977209442;14.538648441778385;15.723845932605043;14.533602450510976;13.739864008838284
100.0;250000.0;54166.0;96.48253340700961;218607.8639320408;56.13391926414084;25.86342187582843;36.398501182719514;31.14093352961322;33.993088342142194;33.30284652024946;34.246065891531195;38097.53172782202;20478.554316056947;34455.776442832794;28100.739658316026;29759.495770048863;32718.705385119632;34997.06063184454;21.073022528989387;5.106245848149305;15.96919134248401;14.538648441778324;12.81781410790127;13.237747128869074;13.739864008838236
100.0;250000.0;54166.0;93.87114194805875;203270.44747093454;56.13391926414087;0.0;36.398501182719414;31.02618723508857;33.99308834214281;36.59941183965914;35.399761748522195;37999.00451343441;0.0;34778.056160621745;26363.502594877198;29112.2732797612;38591.047712915264;36426.56320932473;21.073022528989398;1.748652486695356e-10;15.969191342484024;14.52350346349599;12.81781410818798;14.533602450511202;14.954008054215292
100.0;250000.0;54166.0;97.06569207415485;219854.12993872055;56.13391926414113;28.145953361980283;36.39850118271961;31.140933529612738;33.99308834214199;36.59941183965916;32.54230436833607;37936.49756040945;24726.15183441432;33799.19971556127;26336.790835233216;27542.322207636615;38793.29471115657;30719.87307430913;21.073022528989515;5.908846801753259;15.969191342484098;14.53864844177827;12.817814107901174;14.533602450511212;12.224566400737311
100.0;250000.0;54166.0;97.71900510245275;206540.71171226152;56.1339192641409;0.0;36.398501195819776;31.14093352961322;33.99308834309494;45.67246087279739;36.456520429312555;37901.40100670957;0.0;32153.71910242913;27196.20126474543;29748.603070276036;42616.78448829235;36924.00277980901;21.073022528989405;0.0;15.969191348304367;14.538648441778326;12.817814108399942;18.100150579828284;15.220178095152438
100.0;250000.0;54166.0;97.45353262634735;209262.58229612606;56.13391926414087;0.0;36.3985011827196;31.140933529613108;33.99308834214218;45.59208985432004;35.52796402619534;38173.280199630266;0.0;33488.22322406751;28095.56575646716;29450.868056301504;43967.76469415877;36086.880365500845;21.073022528989398;0.0;15.969191342484077;14.538648441778316;12.817814107901272;18.06855732991254;14.986298875281745
100.0;250000.0;54166.0;93.92907078161326;201922.24905992264;56.1339192641409;0.0;33.87466921726711;31.1409335296035;33.99308834214215;44.337000741815004;34.24606589153126;37538.09206457188;0.0;29763.17102032812;27091.743387686107;30031.92297210489;42546.78396767188;34950.53564755975;21.073022528989405;0.0;14.184530564062502;14.53864844177839;12.817814108300885;17.575191129643837;13.739864008838243
100.0;250000.0;54166.0;96.78593501194894;209269.35104894577;56.13391926414087;0.0;36.39850118271974;31.14093352961754;36.14465681428573;42.869411242367036;34.246065891531266;37233.21843888387;2.8057911549694836e-12;34353.36265150781;27129.561741331556;33238.47398517923;41830.85538527317;35483.87884677012;21.073022528989398;0.0;15.96919134248417;14.538648441778598;14.466916082943163;16.998292606915243;13.739864008838374
100.0;250000.0;54166.0;93.30812657887346;200841.45787789795;56.13391926414093;0.0;33.9145794451578;31.140933529612568;33.99308834214215;42.68556869733329;34.24606589153126;37676.41229939432;0.0;30929.45314038328;27084.264063267456;29254.150850480277;41823.32164104616;34073.85588332643;21.073022528989416;0.0;14.212752022285297;14.53864844177831;12.817814107903837;16.92602546907832;13.73986400883828
10.0;250000.0;54166.0;102.92299998712232;222265.0731014551;50.271419282711626;0.0;36.39850118271957;39.7965073063234;42.55889797178666;48.150840759277386;34.246065891531266;34761.247138170365;0.0;33588.55168612915;42872.36887438678;33787.57024840535;42093.46345478388;35161.87169957957;18.400879648486974;0.0;15.96919134248403;18.393215100654043;17.345466596792367;19.074383289866446;13.739864008838468
10.0;250000.0;54166.0;103.65107171413297;236640.61623974814;56.133919264140914;29.969477543367304;36.39850118271994;31.140933529613115;33.99308834214487;48.150840759277386;34.24606589153128;37449.51911815886;28822.181264288596;35285.8834867922;25360.293489652217;29150.93714743157;46321.43294399244;34250.36878943227;21.073022528989423;6.4381478545196575;15.969191482239435;14.53864844177834;12.81781410790146;19.074383289866322;13.73986400883833
10.0;250000.0;54166.0;101.74057642840623;216938.7804383128;56.13391926414088;0.0;36.398501182719585;31.140933529612973;42.558897972338755;48.1508407592774;34.246065891531266;34922.20254591254;-2.643549972879935e-10;36157.17933836534;27685.53721642279;38876.613057817834;45193.699932247706;34103.54834754683;21.07302252898941;-8.502588910719311e-11;15.969191562019756;14.538648441778347;17.34546659699919;19.074383289866322;13.739864008838236
10.0;250000.0;54166.0;102.68899537178166;224986.8689653983;50.27141928271157;0.0;36.39850118271959;39.7965073063234;42.558897971786664;47.555549381736625;34.24606589153192;35862.866800023025;0.0;32736.487113034713;36685.518442717745;39536.4508738602;41995.72439901996;38169.82133674262;18.40087964848693;0.0;15.969191342484162;18.393215100654043;17.345466596792356;18.840378674525645;13.739864008838516
10.0;250000.0;54166.0;101.2935584344921;227094.41635424882;56.13391926414089;0.0;36.39850118271959;31.140933529613115;42.55889797178667;47.01365880141234;34.246065891531266;36955.629194068926;0.0;33710.45943509062;29543.63545100853;43101.621507846845;45536.604834350765;38246.46593188314;21.073022528989416;0.0;15.969191342484233;14.538648441778305;17.345466596792363;18.627365515609473;13.739864008838309
10.0;250000.0;54166.0;102.92299998712213;226528.05089580893;50.271419282711605;0.0;36.39850118271959;39.7965073063234;42.55889797178667;48.150840759277386;34.24606589153128;35024.23076330701;0.0;35875.84985531035;38323.65290262106;38737.38507611306;41749.54993932955;36817.3823591279;18.40087964848695;0.0;15.96919134248414;18.393215100654043;17.34546659679237;19.074383289866272;13.739864008838357
10.0;250000.0;54166.0;103.25028666933162;236581.5104911016;56.13391926414092;28.679591867214786;36.39850118271959;31.140933529613097;33.993088342141995;48.150840759277386;34.246065891531266;39181.34776097272;25430.280431345716;37171.56104571502;24663.520793767937;30745.524856448505;44943.19536828989;34446.080234561814;21.07302252898942;6.037362949473929;15.969191342484084;14.538648441778344;12.817814107901262;19.07438328986631;13.739864008838246
