scenarios;tot_cap;indiv_cap;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_changed;W2_changed;W3_changed;W4_changed;W5_changed;W6_changed;W7_changed
10.0;250000.0;54166.0;129.98166543928468;241146.34276484547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46873.42528301982;3375.6285553443076;48877.973815316414;2544.880245993855;48694.26383118261;49665.68846287501;41114.48257111345;41.06728744506836;0.0038499245;21.588231528016152;7.6253981590271;21.498508873793085;23.30353052038881;14.894858988491153;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;250000;54166;129.98166543928468;241146.34276484547;<gurobi.LinExpr: 0.0 zetas[0,W1,HP] + 10.0 zetas[1,W1,HP] + 20.0 zetas[2,W1,HP] + 30.0 zetas[3,W1,HP] + 40.0 zetas[4,W1,HP] + 50.0 zetas[5,W1,HP] + 60.0 zetas[6,W1,HP] + 70.0 zetas[7,W1,HP] + 80.0 zetas[8,W1,HP] + 90.0 zetas[9,W1,HP] + 100.0 zetas[10,W1,HP]>;<gurobi.LinExpr: 0.0 zetas[0,W2,HP] + 10.0 zetas[1,W2,HP] + 20.0 zetas[2,W2,HP] + 30.0 zetas[3,W2,HP] + 40.0 zetas[4,W2,HP] + 50.0 zetas[5,W2,HP] + 60.0 zetas[6,W2,HP] + 70.0 zetas[7,W2,HP] + 80.0 zetas[8,W2,HP] + 90.0 zetas[9,W2,HP] + 100.0 zetas[10,W2,HP]>;<gurobi.LinExpr: 0.0 zetas[0,W3,HP] + 10.0 zetas[1,W3,HP] + 20.0 zetas[2,W3,HP] + 30.0 zetas[3,W3,HP] + 40.0 zetas[4,W3,HP] + 50.0 zetas[5,W3,HP] + 60.0 zetas[6,W3,HP] + 70.0 zetas[7,W3,HP] + 80.0 zetas[8,W3,HP] + 90.0 zetas[9,W3,HP] + 100.0 zetas[10,W3,HP]>;0;<gurobi.LinExpr: 0.0 zetas[0,W5,HP] + 10.0 zetas[1,W5,HP] + 20.0 zetas[2,W5,HP] + 30.0 zetas[3,W5,HP] + 40.0 zetas[4,W5,HP] + 50.0 zetas[5,W5,HP] + 60.0 zetas[6,W5,HP] + 70.0 zetas[7,W5,HP] + 80.0 zetas[8,W5,HP] + 90.0 zetas[9,W5,HP] + 100.0 zetas[10,W5,HP]>;<gurobi.LinExpr: 0.0 zetas[0,W6,HP] + 10.0 zetas[1,W6,HP] + 20.0 zetas[2,W6,HP] + 30.0 zetas[3,W6,HP] + 40.0 zetas[4,W6,HP] + 50.0 zetas[5,W6,HP] + 60.0 zetas[6,W6,HP] + 70.0 zetas[7,W6,HP] + 80.0 zetas[8,W6,HP] + 90.0 zetas[9,W6,HP] + 100.0 zetas[10,W6,HP]>;<gurobi.LinExpr: 0.0 zetas[0,W7,HP] + 10.0 zetas[1,W7,HP] + 20.0 zetas[2,W7,HP] + 30.0 zetas[3,W7,HP] + 40.0 zetas[4,W7,HP] + 50.0 zetas[5,W7,HP] + 60.0 zetas[6,W7,HP] + 70.0 zetas[7,W7,HP] + 80.0 zetas[8,W7,HP] + 90.0 zetas[9,W7,HP] + 100.0 zetas[10,W7,HP]>;46873.42528301982;3375.6285553443076;48877.973815316414;2544.880245993855;48694.26383118261;49665.68846287501;41114.48257111345;41.06728744506836;0.0038499245;21.588231528016152;7.6253981590271;21.498508873793085;23.30353052038881;14.894858988491153;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;250000.0;54166.0;129.98166543928468;241146.34276484547;100.0;0.0;53.307336937781045;0.0;47.72562659060158;58.90949315516975;38.388829713516145;46873.42528301982;3375.6285553443076;48877.973815316414;2544.880245993855;48694.26383118261;49665.68846287501;41114.48257111345;41.06728744506836;0.0038499245;21.588231528016152;7.6253981590271;21.498508873793085;23.30353052038881;14.894858988491153;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;250000.0;54166.0;129.98166543928468;241146.34276484547;100.0;0.0;53.307336937781045;0.0;47.72562659060158;58.90949315516975;38.388829713516145;46873.42528301982;3375.6285553443076;48877.973815316414;2544.880245993855;48694.26383118261;49665.68846287501;41114.48257111345;41.06728744506836;0.0038499245;21.588231528016152;7.6253981590271;21.498508873793085;23.30353052038881;14.894858988491153;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;250000.0;54166.0;29.259725604562004;66839.50958876741;0.0;0.0;0.0;0.0;47.725626590602005;0.0;0.0;3770.2784465869568;3375.6285553438343;5135.273202070444;2544.8802459933795;48694.26383118243;808.1494385733184;2511.0358690170483;0.017983198165893555;0.0038499245;0.060967683792114265;7.6253981590271;21.498508873793313;0.021270960569381717;0.03174680471420288;0.0;0.0;0.0;0.0;1.0;0.0;0.0
10.0;250000.0;54166.0;70.34193801362746;143551.77667070786;56.133919264140886;0.0;50.53902886130593;0.0;47.72562659060158;0.0;-4.0389678347315804e-28;37997.386342637015;3375.6285553443076;47620.43238795814;2544.880245993855;48694.26383118261;808.1494385737332;2511.035869018165;21.07302158546133;0.0038499245;20.08814170556235;7.6253981590271;21.498508873793085;0.021270960569381717;0.03174680471421822;1.0;0.0;1.0;0.0;1.0;0.0;0.0
3.0;250000.0;54166.0;70.34193801362744;139035.73234854196;56.133919264140886;0.0;50.53902886130593;0.0;47.72562659060155;0.0;0.0;37879.08906061848;6852.0914563667975;39905.56167912003;1626.142604735649;49164.034330341405;993.0401655847554;2615.773051774828;21.073021585461333;0.0038499245;20.08814170556235;7.6253981590271;21.49850887379307;0.021270960569381717;0.031746804714207134;1.0;0.0;1.0;0.0;1.0;0.0;0.0
3.0;250000.0;54166.0;107.1510708207416;230650.64493006893;56.133919264140886;0.0;50.53902886130593;0.0;47.72562659060155;48.150840759277344;47.47369059246113;37879.08906061848;6852.0914563667975;39905.56167912003;1626.142604735649;49164.034330341405;45650.78656540588;49572.9392334807;21.07302158546133;0.0038499244999999904;20.08814170556235;7.6253981590271;21.49850887379307;19.074384203480438;17.7877663689173;1.0;1.0;1.0;1.0;1.0;1.0;1.0
3.0;250000.0;54166.0;110.44131839317744;241779.76126013443;56.133919264140886;28.579005726091566;40.0;40.0;20.352363595684004;58.90949315516965;47.47369059246113;37879.08906061848;28099.302108098742;36171.76382809154;37991.2582183595;4014.4646647406057;48050.94414674487;49572.9392334807;21.07302158546133;6.20191315351818;18.38467788696289;16.58163070678711;7.108778171141846;23.303530520388772;17.7877663689173;1.0;1.0;1.0;1.0;1.0;1.0;1.0
3.0;250000.0;54166.0;69.80264089110739;180672.27622450324;0.0;36.19838523864747;0.0;36.646182523263356;33.92060599280668;43.13332211299127;33.914669221152586;10.0;40925.64818850233;36.666666666666664;32137.89928499016;30146.6457911507;42857.17959130183;34558.236701891554;1.0;9.438201094475653;1.0;14.974356054121234;14.259972400982257;17.102034112721256;12.028077228806985;0.0;0.0;0.0;0.0;0.0;0.0;0.0
