;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;0.0;105.82209925206399;220514.26979909535;72.984;0.0;48.75414340146543;22.524;39.78268271092381;62.606;28.526576962234046
1;1.0;105.76915603040584;226500.6957973249;72.984;0.0;40.0;19.71372125325687;42.09457698134638;62.606;28.526576962234046
2;1.0;104.04554026849847;226437.0147525754;72.984;0.0;40.0;20.53300629478762;38.45003826961154;62.606;28.526576962234046
3;0.0;113.89752290364964;218659.0562412519;72.984;0.0;61.99999999999939;22.524;41.3940223581305;62.606;28.526576962234046
4;0.0;103.31422136603004;221724.9617954563;72.984;0.0;47.12620202979011;22.524;36.27919434560173;62.606;28.526576962234046
5;0.0;104.73596045037823;224168.71098344427;72.984;0.0;40.0;22.524;39.388258543582324;62.606;28.526576962234046
6;0.0;109.14627671227228;208751.40681142383;72.984;0.0;59.08165420843454;22.524;35.67939777788811;62.606;28.526576962234046
7;1.0;101.43889730371428;229064.21252034386;72.984;0.0;36.07912284177748;22.524;38.20145456998129;62.606;28.526576962234046
8;0.0;106.88104280598313;220827.24430195216;72.984;0.0;51.808715118281235;22.524;38.91284106038247;62.606;28.526576962234046
9;0.0;106.18795835011626;214358.7292931552;72.984;0.0;53.54520018459269;22.524;35.75999814303246;62.606;28.526576962234046
10;0.0;103.3915624010662;223077.97469575726;72.984;0.0;49.140225901860894;22.524;34.77634982567362;62.606;28.526576962234046
11;1.0;101.6539995712725;227704.94633636862;72.984;0.0;40.0;16.75593467853958;36.85573421240865;62.606;28.526576962234046
12;0.0;105.07097878330617;220614.39441022562;72.984;0.0;47.07836153663329;22.524;39.70803896947809;62.606;28.526576962234046
13;1.0;103.09311661832211;226941.19300828734;72.984;0.0;40.0;21.275427414752226;36.4654810376219;62.606;28.526576962234046
14;0.0;106.6470675414873;219082.5064387636;72.984;0.0;52.04333015582193;22.524;38.21609510329588;62.606;28.526576962234046
15;1.0;102.5301041991552;233948.64312103915;72.984;0.0;47.22117798492713;22.524;34.68836052034801;62.606;28.526576962234046
16;0.0;108.53978077315591;223870.95642547047;72.984;0.0;57.74447762335559;22.524;35.907253783560755;62.606;28.526576962234046
17;1.0;103.10233680252196;225947.73542346878;72.984;0.0;40.0;19.98331685876415;36.750605378845975;62.606;28.526576962234046
18;0.0;113.97593089888332;210694.91972013292;72.984;0.0;62.000000000000064;22.524;41.54221039644235;62.606;28.526576962234046
19;0.0;104.03668325402464;221001.09058937954;72.984;0.0;46.87990501014925;22.524;37.87519270346521;62.606;28.526576962234046
20;0.0;109.99862665042008;222413.10479404248;72.984;0.0;57.45176889613431;22.524;39.02808378742219;62.606;28.526576962234046
21;1.0;101.17907837644681;230749.96740248872;72.984;0.0;32.76147661481753;22.524;42.03620326549948;62.606;28.526576962234046
22;0.0;110.89197543329313;220389.36668436704;72.984;0.0;62.000000000000014;22.524;35.624061875986044;62.606;28.526576962234046
23;0.0;104.91580100879068;222641.76952204146;72.984;0.0;48.83163802044767;22.524;37.97044444130288;62.606;28.526576962234046
24;0.0;104.15945659371656;223193.43559364195;72.984;0.0;47.16196282113867;22.524;37.88071207926445;62.606;28.526576962234046
25;0.0;109.37698134744974;216734.63417179856;72.984;0.0;59.52168706329872;22.524;35.66446330264376;62.606;28.526576962234046
26;0.0;104.46762334295026;223860.77021227;72.984;0.0;48.99975418330265;22.524;36.96779836992643;62.606;28.526576962234046
27;0.0;109.89700403006339;214869.0789409492;72.984;0.0;56.778621987830945;22.524;39.5358070368558;62.606;28.526576962234046
28;0.0;111.75449738872697;214957.85408404502;72.984;0.0;62.000000000000014;22.524;37.28826774571522;62.606;28.526576962234046
29;1.0;98.37434801562591;231693.69782751607;72.984;0.0;32.78061225392235;22.524;36.641880107626314;62.606;28.526576962234046
30;1.0;103.87946544370322;225427.4774563381;72.984;0.0;40.0;20.958795334427858;38.045359682455974;62.606;28.526576962234046
31;0.0;103.18575176527924;224270.57632134535;72.984;0.0;40.0;22.524;36.39718524186074;62.606;28.526576962234046
32;0.0;108.06942168702244;218442.19042994757;72.984;0.0;53.05182167698787;22.524;39.90606155579268;62.606;28.526576962234046
33;0.0;109.94696523248062;216105.3900950872;72.984;0.0;57.71681008606656;22.524;38.65129431246566;62.606;28.526576962234046
34;0.0;105.40465248312377;220545.66384291297;72.984;0.0;47.10834177117906;22.524;40.320558038142195;62.606;28.526576962234046
35;1.0;101.89175978869669;227777.0264923802;72.984;0.0;40.0;17.50618192185976;36.640423831502034;62.606;28.526576962234046
36;0.0;104.73311958507593;220317.49568727252;72.984;0.0;40.0;22.524;39.382777193593014;62.606;28.526576962234046
37;0.0;102.7576547143135;218424.1365304463;72.984;0.0;40.0;22.524;35.571186992723334;62.606;28.526576962234046
38;0.0;104.69556992613005;217011.4251597101;72.984;0.0;40.0;22.524;39.31032644328996;62.606;28.526576962234046
39;1.0;100.95809211424125;227517.89269592604;72.984;0.0;36.16698196847439;22.524;37.1578015624576;62.606;28.526576962234046
