mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_layers;param_neurons;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
9.187328577041626;0.0572972297668457;;;0.05;1;20;1e-06;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 1e-06};12;;;;;;;0.7512775601464491;0.014733189545400456;;
9.666143496831259;0.08537205060323079;;;0.05;1;20;1e-05;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 1e-05};59;;;-22.49009132385254;-22.407575730354555;-8.526002883911133;-7.808555326154155;0.18536845502340366;0.0064314549419053355;;
9.977618296941122;0.13730502128601074;;;0.05;1;20;0.0001;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 0.0001};58;;;;;;;0.44853087469228353;0.02595024574555905;;
10.400699615478516;0.1765888532002767;;;0.05;1;20;0.001;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 0.001};57;-18.362895965576172;-21.979989369710285;;;-21.372570037841797;-17.934220344789566;0.15777173757853638;0.03186889598788303;;
10.587090015411377;0.15763274828592935;;;0.05;1;20;0.01;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 0.01};56;;;;;;;0.14761882892357975;0.021197171564002026;;
10.990202903747559;0.2662359078725179;;;0.05;1;40;1e-06;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 1e-06};55;;;-28.653657913208008;-28.568801879882812;;;0.11731804266683585;0.01977155088289379;;
11.358880360921225;0.30486281712849933;;;0.05;1;40;1e-05;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 1e-05};54;;;-22.622045516967773;-22.53562342736029;;;0.2679605854505878;0.023197566150361705;;
11.352673371632894;0.34839145342508954;;;0.05;1;40;0.0001;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 0.0001};53;;;-inf;-inf;-21.869922637939453;-18.23867674796812;0.15313418646119606;0.009363282309297364;;
11.907077868779501;0.39855368932088214;;;0.05;1;40;0.001;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 0.001};52;;;;;-29.176868438720703;-24.15874376604634;0.056063356034049536;0.01173969109415985;;
11.93144162495931;0.41843509674072266;;;0.05;1;40;0.01;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 0.01};51;-inf;-inf;-23.877307891845703;-23.79404147978752;;;0.020939443529192074;0.00490624333316904;;
14.22511879603068;0.36191360155741376;;;0.05;2;20;1e-06;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 1e-06};50;-13.273676872253418;-15.474309285481771;;;-24.612857818603516;-20.545019149780273;0.004872113503927689;0.008768579376997467;;
14.026964902877808;0.419770081837972;-8.612133057221122;-8.563493764528664;0.05;2;20;1e-05;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 1e-05};2;-6.699004173278809;-6.718960762023926;-12.207926750183105;-12.074127474138814;-7.057010173797607;-6.897393057423253;0.11851514624810924;0.015467026707509773;2.5055724243937076;2.4834614691727768
14.668321132659912;0.4556449254353841;;;0.05;2;20;0.0001;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.0001};49;;;-22.664745330810547;-22.585173883745746;-13.227599143981934;-11.507559437905588;0.2790749630803702;0.00701119119459763;;
14.085824648539225;0.5376907189687093;;;0.05;2;20;0.001;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.001};48;-31.463411331176758;-38.647116343180336;-19.234737396240234;-19.157869769680886;;;0.45052759814592763;0.0589434012090697;;
14.275786717732748;0.6823843320210775;-7.779556554296742;-7.77924911437496;0.05;2;20;0.01;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.01};1;-6.607679843902588;-6.66565465927124;-10.109859466552734;-10.042899070247527;-6.699255466461182;-6.629193613606114;0.13546935874254804;0.03407143439959919;1.6214134463119796;1.600711444744524
15.90678866704305;0.7959539095560709;-inf;-inf;0.05;2;40;1e-06;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 1e-06};3;-20.100305557250977;-24.175642649332683;-42.61994552612305;-inf;-inf;-inf;1.022643259153314;0.056017623220566366;;
17.2648872534434;0.8778594334920248;-inf;-inf;0.05;2;40;1e-05;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 1e-05};3;-34.19157791137695;-inf;-inf;-inf;-inf;-inf;0.22687163946321376;0.003831284230918969;;
16.90273928642273;0.902540365854899;-inf;-inf;0.05;2;40;0.0001;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 0.0001};3;-27.635915756225586;-33.92883046468099;-8.500232696533203;-8.471547157533708;-inf;-inf;0.06961164917981234;0.022923181328405803;;
17.243406613667805;0.9491667747497559;;;0.05;2;40;0.001;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 0.001};47;;;;;;;0.3060200122303091;0.01240082712318284;;
17.61462648709615;1.0161803563435872;;;0.05;2;40;0.01;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 0.01};46;;;;;-inf;-inf;0.4018641677681996;0.01946417544928498;;
15.838992039362589;1.0567686557769775;;;0.15000000000000002;1;20;1e-06;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 20, 'regu': 1e-06};45;;;;;;;0.10861969852417147;0.021503227432356106;;
