n;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2.313671350479126;0.22501667340596518;-2.942540019750595;-2.2935314178466797;0.05;1,00E-06;{'dropout': 0.05, 'regu': 1e-06};1;-3.902409791946411;-2.647754669189453;-2.7622387409210205;-2.5949506759643555;-1.773187279701233;-1.6378889083862305;0.10624077913804092;0.00718620678935527;0.8363871153277639;0.4641101813031222
2.6900829474131265;0.37506882349650067;-3.351863205432892;-2.516794443130493;0.05;0.0001;{'dropout': 0.05, 'regu': 0.0001};2;-3.827134370803833;-2.3610222339630127;-3.455907106399536;-3.216799259185791;-2.4828906059265137;-1.9725618362426758;0.03929851650375667;0.012758148472806234;0.5268242353088425;0.519763040256307
3.924185832341512;0.8631890614827474;-3.4289880990982056;-2.610985279083252;0.1;0.0005;{'dropout': 0.1, 'regu': 0.0005};3;-3.40112042427063;-1.6977546215057373;-3.9921233654022217;-3.727067470550537;-2.626086711883545;-2.4081337451934814;0.018640010920343814;0.019210300017304376;0.5295039047954728;0.8407890018411893
4.6103378136952715;1.197692632675171;-3.662039428949356;-2.8186721404393515;0.1;0.05;{'dropout': 0.1, 'regu': 0.05};4;-3.5110995769500732;-1.898903250694275;-4.874659538269043;-4.532308101654053;-2.06951904296875;-2.0248050689697266;0.19452841303931384;0.1028727787734131;1.0926992647151252;1.212813250982316
3.4425950050354004;0.6684591770172119;-3.76323926448822;-2.7636701265970864;0.1;1,00E-06;{'dropout': 0.1, 'regu': 1e-06};5;-3.684645414352417;-2.128371238708496;-3.596503496170044;-3.3769237995147705;-4.1312336921691895;-2.785715341567993;0.039273178656554664;0.008839860368935835;0.21586257976892184;0.5099577550485997
3.2054851055145264;0.588621457417806;-3.7970855236053467;-3.0637325445810952;0.05;0.05;{'dropout': 0.05, 'regu': 0.05};6;-4.26154088973999;-3.2229437828063965;-4.219214916229248;-3.9344825744628906;-2.4672083854675293;-2.033771276473999;0.012867088130462419;0.019488417790314426;0.7680236356086423;0.7840863147037573
4.1659378210703535;0.9656423727671305;-3.8258142173290253;-3.1972105503082275;0.1;0.005;{'dropout': 0.1, 'regu': 0.005};7;-4.56663179397583;-3.239344835281372;-2.905895948410034;-2.759251832962036;-4.094465255737305;-3.5930349826812744;0.0200574945535574;0.016894751258242947;0.7356568213979742;0.3416919262206645
5.627510150273641;1.374611218770345;-3.8593097627162933;-3.1831918557484946;0.15000000000000002;5,00E-05;{'dropout': 0.15000000000000002, 'regu': 5e-05};8;-4.913605213165283;-3.8040778636932373;-3.551429033279419;-3.2963435649871826;-2.73968768119812;-2.4491541385650635;0.2784049931493522;0.03233461407087844;0.875078248789375;0.5589019336798
4.993870973587036;1.2068866888682048;-3.873714417219162;-2.9366582234700522;0.15000000000000002;1,00E-06;{'dropout': 0.15000000000000002, 'regu': 1e-06};9;-3.9689013957977295;-2.4925522804260254;-4.398606777191162;-4.059754848480225;-2.9435954093933105;-2.2576675415039062;0.08387477867067974;0.020278320679324526;0.5683265334274797;0.7999175924125177
5.473374843597412;1.2316313584645588;-3.8948322534561157;-3.1385724544525146;0.1;0.1;{'dropout': 0.1, 'regu': 0.1};10;-4.339722156524658;-3.02419376373291;-4.403348922729492;-4.092257499694824;-2.4647223949432373;-2.2992660999298096;0.5282846602478082;0.03214727087717912;0.8261338497161891;0.736440268487936
2.7092196941375732;0.338586966196696;-3.940660059452057;-3.2212294737497964;0.05;5,00E-05;{'dropout': 0.05, 'regu': 5e-05};11;-4.670022964477539;-3.497180461883545;-4.037753582000732;-3.737753391265869;-2.7009754180908203;-2.4287545680999756;0.19168796901209328;0.014711162106334701;0.7663083760877729;0.5689060793320327
7.606443405151367;1.971909523010254;-4.043097227811813;-3.1684675216674805;0.2;0.001;{'dropout': 0.2, 'regu': 0.001};12;-4.401617527008057;-3.0871810913085938;-3.3792922496795654;-3.1104965209960938;-4.50102424621582;-3.307724952697754;0.6800432134634411;0.05264468165259117;0.5156204842415012;0.09892885116163606
2.9166723092397056;0.42177430788675946;-4.112810790538788;-3.375333547592163;0.05;0.0005;{'dropout': 0.05, 'regu': 0.0005};13;-4.3910040855407715;-3.0791523456573486;-4.16697359085083;-3.867018938064575;-3.614276647567749;-3.1798293590545654;0.20376778124289022;0.009866055494351376;0.30373671542572134;0.3500950896158091
3.5102240244547525;0.632119337717692;-4.15476667881012;-3.5463692347208657;0.05;0.1;{'dropout': 0.05, 'regu': 0.1};14;-5.300693035125732;-4.353949546813965;-3.607158660888672;-3.3685131072998047;-3.257289171218872;-2.916645050048828;0.2585065631651793;0.006808029842953067;0.8979140423389852;0.6001031331647548
7.418482700983684;2.14789350827535;-4.167156159877777;-3.485405921936035;0.2;0.05;{'dropout': 0.2, 'regu': 0.05};15;-4.960353374481201;-3.8581900596618652;-3.878119468688965;-3.5911624431610107;-3.4109153747558594;-3.0068652629852295;0.16610037107299488;0.006359757881752757;0.6404990574239405;0.3555060324807774
3.72006622950236;0.7897079785664877;-4.198184370994568;-3.6516522566477456;0.1;5,00E-05;{'dropout': 0.1, 'regu': 5e-05};16;-3.7294702529907227;-2.5087807178497314;-3.152973175048828;-2.949911117553711;-6.469072341918945;-5.496264934539795;0.025130832380644338;0.018654452396734633;1.3346508185016694;1.3167120555803145
3.8377554416656494;0.8141762415568033;-4.202739506959915;-3.5387876828511557;0.1;0.0001;{'dropout': 0.1, 'regu': 0.0001};17;-4.507924556732178;-3.237029552459717;-3.4968597888946533;-3.220226287841797;-4.803781509399414;-4.159107208251953;0.012794493842530098;0.013762716475111193;0.5586496274873614;0.438685781716677
