mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
11.009217739105225;3.966879367828369;-4.022655606269836;-3.417850971221924;0.05;1e-06;{'dropout': 0.05, 'regu': 1e-06};11;-4.731199264526367;-3.791973829269409;-4.663553237915039;-3.9214110374450684;-2.531505584716797;-2.540168046951294;0.1929084802773124;0.06375730092716997;1.0057209944569487;0.6228611318650198
11.214750448862711;4.079167366027832;-3.9346086531877518;-3.2872431675593057;0.05;5e-06;{'dropout': 0.05, 'regu': 5e-06};7;-5.3723626136779785;-4.619782447814941;-3.9626545906066895;-3.25020694732666;-2.181257963180542;-1.991740107536316;0.19100375709744835;0.05444724302598034;1.3176196527546444;1.0732133670372446
11.21946096420288;4.0948433081309;-4.2817918211221695;-3.426079591115316;0.05;1e-05;{'dropout': 0.05, 'regu': 1e-05};16;-3.65628719329834;-2.3576180934906006;-3.5510833263397217;-2.8461458683013916;-5.763105869293213;-5.074474811553955;0.13014455026943741;0.024826266838597004;0.9996457905445414;1.182531169078743
11.514906644821167;4.157044490178426;-5.247283861041069;-4.633823235829671;0.05;5e-05;{'dropout': 0.05, 'regu': 5e-05};45;-6.370769500732422;-5.990608215332031;-5.189496040344238;-4.4350361824035645;-3.9568889141082764;-3.475825309753418;0.18324926783801324;0.04237651854297794;0.9973594090149059;1.0362337204205683
11.685323158899942;4.228896935780843;-3.8719902336597443;-3.195091644922892;0.05;0.0001;{'dropout': 0.05, 'regu': 0.0001};6;-4.1055073738098145;-3.010133981704712;-4.51699161529541;-3.7902283668518066;-2.946768283843994;-2.784912586212158;0.11076234166155345;0.0742134079662068;0.6465047235967754;0.4307527965381257
11.95339568456014;4.367256085077922;-3.9616229832172394;-3.2585035959879556;0.05;0.0005;{'dropout': 0.05, 'regu': 0.0005};8;-3.8525540828704834;-2.600654125213623;-4.653859615325928;-3.915114641189575;-3.400269031524658;-3.259742021560669;0.16811480833156364;0.08230228686372917;0.5026756670376153;0.536626973038296
12.158913850784302;4.366938511530559;-4.388376921415329;-3.6278138955434165;0.05;0.001;{'dropout': 0.05, 'regu': 0.001};18;-4.188554286956787;-3.048948287963867;-4.028714656829834;-3.310231924057007;-4.987826347351074;-4.524261474609375;0.14199961292402405;0.11157502077369497;0.4095010153802291;0.6427964847095472
12.220420598983765;4.391308863957723;-4.8058521300554276;-4.231791734695435;0.05;0.005;{'dropout': 0.05, 'regu': 0.005};34;-5.978971004486084;-5.441637992858887;-5.326231479644775;-4.5685834884643555;-2.877730131149292;-2.6851537227630615;0.14252309120752632;0.0555354345513354;1.3275798684070956;1.1502529857605204
12.101775328318277;4.482570250829061;-3.350499376654625;-2.64668869972229;0.05;0.01;{'dropout': 0.05, 'regu': 0.01};3;-3.888744592666626;-2.688748836517334;-4.210688591003418;-3.483727216720581;-1.8444159030914307;-1.767590045928955;0.11152661998665078;0.023060535533938088;1.0240639642030938;0.7012410372920213
12.801971435546875;4.560435056686401;-3.839053601026535;-3.0862998167673745;0.05;0.05;{'dropout': 0.05, 'regu': 0.05};5;-4.472040176391602;-3.452409029006958;-3.7765259742736816;-3.065774440765381;-3.1419973373413086;-2.740715980529785;0.33122817728969717;0.10539693531949867;0.550739146613731;0.2909097421397231
13.557967980702719;4.632626454035441;-4.68790890276432;-4.066619316736857;0.05;0.1;{'dropout': 0.05, 'regu': 0.1};24;-4.578172206878662;-3.613762378692627;-6.156130790710449;-5.370666027069092;-3.3513710498809814;-3.2154295444488525;1.567335115079326;0.06703456874919697;1.111932371389834;0.936329937844352
13.017877578735352;4.7308699289957685;-4.789224803447723;-4.194843848546346;0.1;1e-06;{'dropout': 0.1, 'regu': 1e-06};33;-5.884527206420898;-5.289234161376953;-4.651740074157715;-3.893129825592041;-3.612346649169922;-3.402167558670044;0.2846164086919962;0.13049252000275613;0.9426639554930958;0.7993866834427512
12.918936093648275;4.732573747634888;-4.706113085150719;-4.129980723063151;0.1;5e-06;{'dropout': 0.1, 'regu': 5e-06};26;-5.965318202972412;-5.402825355529785;-4.404313087463379;-3.670067548751831;-3.4968669414520264;-3.317049264907837;0.29828357269001504;0.052250223999461255;1.0392419877536119;0.9115026315490923
