mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_layers;param_neurons;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
19.256568829218548;0.08660078048706055;-4.7524040514423005;-4.6675170386340605;0.12081258604887406;2;36;9.299960595177016e-05;{'dropout': 0.12081258604887406, 'layers': 2, 'neurons': 36, 'regu': 9.299960595177016e-05};6;-5.02339031582787;-4.659813287781506;-4.687295028141567;-4.7284343300796134;-4.536232948303223;-4.614303498041062;2.347249166187406;0.019420526973705325;0.20342734555707132;0.046911068618196244
19.066041946411133;0.16417582829793295;-4.833891207172025;-4.745733346950163;0.06938465320086559;2;16;3.387917429845844e-05;{'dropout': 0.06938465320086559, 'layers': 2, 'neurons': 16, 'regu': 3.387917429845844e-05};14;-5.08577501206171;-4.6705802708137325;-4.8662053516932895;-4.905464614309916;-4.535483360290527;-4.661155155726841;0.8119648198351039;0.03607230788922821;0.22487371433575323;0.11301258492712193
19.82742953300476;0.20514154434204102;-4.708640898427656;-4.559285492847191;0.03327393716472122;2;39;1.4946759059134696e-05;{'dropout': 0.03327393716472122, 'layers': 2, 'neurons': 39, 'regu': 1.4946759059134696e-05};1;-4.816053345089867;-4.503849913434284;-4.774371056329636;-4.618910347543111;-4.526841163635254;-4.5550962175641745;0.8297264063604722;0.02416567463404292;0.12662100586848882;0.04706653726286921
18.21716769536336;0.23549985885620117;-5.2419296080066315;-5.16184579943023;0.3026918559186547;1;27;4.29330091538743e-05;{'dropout': 0.3026918559186547, 'layers': 1, 'neurons': 27, 'regu': 4.29330091538743e-05};45;-5.308167730058942;-4.982705953644543;-5.2474273954119;-5.256130567411097;-5.166606903076172;-5.24670087723505;1.227192874948111;0.010309164499303898;0.05767570652385448;0.12672948361317726
19.919750610987347;0.3407895565032959;-5.012290354697935;-4.929509429473818;0.03769454285819575;2;10;7.248235625554674e-05;{'dropout': 0.03769454285819575, 'layers': 2, 'neurons': 10, 'regu': 7.248235625554674e-05};25;-5.185214178902762;-4.815841395680497;-5.196924799964542;-5.192997467227098;-4.63685417175293;-4.779689425513858;1.1354969377074569;0.05474748694456126;0.25912039871188014;0.18689783441948155
24.091447671254475;0.36006943384806317;-5.126197115067513;-5.047351694642413;0.3499073188677233;2;18;9.118433049229981e-05;{'dropout': 0.3499073188677233, 'layers': 2, 'neurons': 18, 'regu': 9.118433049229981e-05};32;-5.257063911074684;-4.9304980301275485;-5.197845572517032;-5.19109370068806;-4.913556098937988;-5.02046335311163;1.7702487637053763;0.027147832341686978;0.1487461601350724;0.10807331789554617
22.58262038230896;0.4340357780456543;-4.956972552884009;-4.840421072789693;0.1300571700667792;2;17;9.550490954279106e-05;{'dropout': 0.1300571700667792, 'layers': 2, 'neurons': 17, 'regu': 9.550490954279106e-05};19;-5.204753103710356;-4.807775532327047;-5.012791906084333;-4.98867910664256;-4.638192653656006;-4.724808579399472;1.4409178415616988;0.006561752732425289;0.23373349573564983;0.11017020852892438
22.8907204469045;0.4660276571909587;-5.120266391384986;-5.079149104253848;0.39790765588525256;2;22;9.874734459904631e-05;{'dropout': 0.39790765588525256, 'layers': 2, 'neurons': 22, 'regu': 9.874734459904631e-05};31;-5.34216662815639;-5.056036158305843;-5.254377274286179;-5.269286225481731;-4.74645471572876;-4.91212492897397;2.3558685133605164;0.026562692531250966;0.2604722046023371;0.14672355896622455
20.14721457163493;0.461991548538208;-5.174773323920466;-5.12262884665034;0.12317815124317719;1;37;9.728037884696734e-05;{'dropout': 0.12317815124317719, 'layers': 1, 'neurons': 37, 'regu': 9.728037884696734e-05};36;-5.322483017331078;-4.9962901836488305;-5.2663887568882535;-5.25655830197218;-4.9234819412231445;-5.115038054330008;1.3123901579047332;0.00800918527447003;0.17493729490188895;0.10638949963830088
23.642592350641888;0.5202762285868326;-4.936464917275213;-4.829798651166171;0.16898548810846623;2;17;5.092759891693372e-05;{'dropout': 0.16898548810846623, 'layers': 2, 'neurons': 17, 'regu': 5.092759891693372e-05};16;-5.200619833809989;-4.8625348253947935;-4.930939333779471;-4.937940062546149;-4.6649041175842285;-4.688921065557571;1.1028505934017492;0.038793860434913424;0.21779247116004194;0.1042636339370682
26.331463098526;0.6288332144419352;-4.779118676339427;-4.661673586081498;0.06950569039407592;2;24;4.898352394996922e-05;{'dropout': 0.06950569039407592, 'layers': 2, 'neurons': 24, 'regu': 4.898352394996922e-05};8;-5.002327101571219;-4.646797831465558;-4.771009354364304;-4.735197195192662;-4.553264617919922;-4.603025731586275;2.625599201353601;0.045227678250070555;0.1826261879357108;0.054974478954686545
