mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
25.359450817108154;9.29841923713684;;;0.05;1e-06;{'dropout': 0.05, 'regu': 1e-06};1;;;;;;;0.04624986653352867;0.08820774426471019;;
25.52979024251302;9.38190770149231;;;0.05;5e-06;{'dropout': 0.05, 'regu': 5e-06};55;;;;;;;0.06541739142400171;0.02737759904538307;;
25.628665526707966;9.529634952545166;;;0.05;1e-05;{'dropout': 0.05, 'regu': 1e-05};54;;;;;;;0.04609951211818547;0.026219315725758086;;
25.834880034128826;9.493212858835856;;;0.05;5e-05;{'dropout': 0.05, 'regu': 5e-05};53;;;-35.01049041748047;-34.48066711425781;;;0.11774408040528286;0.06392390724819241;;
25.979933659235638;9.685386021931967;;;0.05;0.0001;{'dropout': 0.05, 'regu': 0.0001};52;-47.441436767578125;-47.52223205566406;;;;;0.15183997354855425;0.1488183850195057;;
26.252663453420002;9.634908755620321;;;0.05;0.0005;{'dropout': 0.05, 'regu': 0.0005};51;;;;;;;0.0733560076788751;0.0654538226254951;;
26.399042050043743;9.79434068997701;;;0.05;0.001;{'dropout': 0.05, 'regu': 0.001};50;;;;;;;0.11716096970368597;0.04994774401959977;;
27.2249010403951;9.861854553222656;;;0.05;0.005;{'dropout': 0.05, 'regu': 0.005};49;;;;;;;0.7471607776226908;0.1393209268878065;;
26.727917671203613;9.88958485921224;;;0.05;0.01;{'dropout': 0.05, 'regu': 0.01};48;-inf;-inf;-36.04695510864258;-35.51642608642578;;;0.1332029662661006;0.06478354508389846;;
27.000696818033855;10.058739423751831;;;0.05;0.05;{'dropout': 0.05, 'regu': 0.05};47;;;;;-inf;-inf;0.06398270338187137;0.019539789778413693;;
27.22540831565857;10.077479521433512;;;0.05;0.1;{'dropout': 0.05, 'regu': 0.1};46;;;;;;;0.028733907146324705;0.11022904681506966;;
27.448333740234375;10.177087863286337;;;0.1;1e-06;{'dropout': 0.1, 'regu': 1e-06};45;;;;;;;0.18268060644821255;0.1112662895414253;;
27.686182975769043;10.323426326115927;;;0.1;5e-06;{'dropout': 0.1, 'regu': 5e-06};44;;;;;;;0.006241065783863368;0.09647938382237316;;
27.83519999186198;10.285634438196817;;;0.1;1e-05;{'dropout': 0.1, 'regu': 1e-05};43;;;-inf;-inf;;;0.16088590710786888;0.09219680097457354;;
27.97755567232768;10.429702917734781;;;0.1;5e-05;{'dropout': 0.1, 'regu': 5e-05};42;-49.337890625;-inf;;;;;0.15489564624448;0.09431833070302453;;
28.932763417561848;10.432033697764078;;;0.1;0.0001;{'dropout': 0.1, 'regu': 0.0001};41;-44.74769592285156;-44.789161682128906;;;;;0.7119026156301156;0.14041480571945164;;
28.576302925745647;10.605475028355917;;;0.1;0.0005;{'dropout': 0.1, 'regu': 0.0005};56;;;;;;;0.1789505150063757;0.07134192579968522;;
28.95863636334737;10.780959367752075;;;0.1;0.001;{'dropout': 0.1, 'regu': 0.001};57;;;;;;;0.1750761532365231;0.06760765430759416;;
29.180090586344402;10.833067337671915;;;0.1;0.005;{'dropout': 0.1, 'regu': 0.005};58;;;;;;;0.2467132748906126;0.12205566904070957;;
29.358554363250732;10.97348920504252;;;0.1;0.01;{'dropout': 0.1, 'regu': 0.01};59;;;;;;;0.06591877429196402;0.007044191607099725;;
29.59002168973287;10.934094270070394;;;0.1;0.05;{'dropout': 0.1, 'regu': 0.05};75;;;;;;;0.026692869933400778;0.15056342123758867;;
