mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_layers;param_neurons;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
182.9878826936086;20.520710070927937;-24.271601281514982;-24.775881869872833;0.05;2;20;0.01;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.01};1;-21.20004653930664;-30.048350016276043;-29.59974479675293;-26.67970883404767;-21.841428756713867;-17.599586759294784;0.16423426540715902;0.19651202511526109;3.845505664522447;5.257461015181571
196.66822242736816;22.73242998123169;-26.879861506020152;-28.184098882860187;0.15000000000000002;2;20;1,00E-06;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 20, 'regu': 1e-06};2;-25.969036102294922;-37.45751882482458;-37.12175369262695;-33.2815828676577;-16.83102035522461;-13.813194956098284;0.38003230644745717;0.3213280709420894;8.253444408622446;10.303778272515876
166.77992995580038;18.548303206761677;;;0.05;1;20;1,00E-06;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 1e-06};3;;;;;;;0.6169117026363369;0.10830556538802347;;
224.4921964009603;27.34742299715678;;;0.25000000000000006;2;40;0.0001;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 40, 'regu': 0.0001};4;;;;;;;1.314444616999981;0.08270065000085482;;
224.5248814423879;27.099645773569744;;;0.25000000000000006;2;40;1,00E-05;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 40, 'regu': 1e-05};5;;;;;#NAME?;#NAME?;0.2144752420424858;0.1816137331012375;;
222.89657815297446;27.112257480621338;;;0.25000000000000006;2;40;1,00E-06;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 40, 'regu': 1e-06};6;;;;;;;0.3321085740672032;0.2276783899238786;;
221.6834383805593;26.823978026707966;;;0.25000000000000006;2;20;0.01;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 20, 'regu': 0.01};7;;;;;;;0.22049595885676254;0.24243037009621546;;
219.9826697508494;26.71570372581482;;;0.25000000000000006;2;20;0.001;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 20, 'regu': 0.001};8;;;;;;;1.1675639400480473;0.18625885065026437;;
219.50248837471008;26.461249033610027;;;0.25000000000000006;2;20;0.0001;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 20, 'regu': 0.0001};9;;;;;;;0.5246677749917985;0.3109366682483958;;
218.16679668426514;26.122888167699177;;;0.25000000000000006;2;20;1,00E-05;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 20, 'regu': 1e-05};10;;;;;;;0.3593126657461286;0.06817370478970795;;
217.1189463933309;26.098175128300984;;;0.25000000000000006;2;20;1,00E-06;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 20, 'regu': 1e-06};11;;;;;;;0.45503092238386045;0.06315509964528916;;
212.0049786567688;25.85775287946065;;;0.25000000000000006;1;40;0.01;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 40, 'regu': 0.01};12;;;;;;;0.6014936855825183;0.05133496711925036;;
211.93441470464072;25.641187747319538;;;0.25000000000000006;1;40;0.001;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 40, 'regu': 0.001};13;;;;;;;0.13182436952923748;0.06760692622705651;;
210.8203457991282;25.553304195404053;;;0.25000000000000006;1;40;0.0001;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 40, 'regu': 0.0001};14;;;;;;;0.4029905552769995;0.013712870300060352;;
210.0454247792562;25.37299148241679;;;0.25000000000000006;1;40;1,00E-05;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 40, 'regu': 1e-05};15;;;;;;;0.5493991734180586;0.01311063907581507;;
208.45417308807373;25.48427669207255;;;0.25000000000000006;1;40;1,00E-06;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 40, 'regu': 1e-06};16;;;;;;;0.3309891015853428;0.26342766432988995;;
208.48529823621115;25.06690589586894;;;0.25000000000000006;1;20;0.01;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 20, 'regu': 0.01};17;-13.709900856018066;-18.236006418863933;;;-7.623660564422607;-7.025171075548444;0.39691641945888184;0.12437969555115488;;
207.00304985046387;24.883558591206867;;;0.25000000000000006;1;20;0.001;{'dropout': 0.25000000000000006, 'layers': 1, 'neurons': 20, 'regu': 0.001};18;-11.08771800994873;-14.087650193108452;;;;;0.38923311876610417;0.21704504051917348;;
227.1419312953949;27.60362442334493;;;0.25000000000000006;2;40;0.001;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 40, 'regu': 0.001};19;;;;;;;0.2718070906440565;0.20690652290332323;;
227.71997745831808;27.70796513557434;;;0.25000000000000006;2;40;0.01;{'dropout': 0.25000000000000006, 'layers': 2, 'neurons': 40, 'regu': 0.01};20;;;;;;;0.3648939756715725;0.09387893200224359;;
224.34766054153442;28.026331504185993;;;0.35000000000000003;1;20;1,00E-06;{'dropout': 0.35000000000000003, 'layers': 1, 'neurons': 20, 'regu': 1e-06};21;;;;;;;0.49293939738854525;0.07252056473460336;;
225.01571806271872;28.033490419387817;;;0.35000000000000003;1;20;1,00E-05;{'dropout': 0.35000000000000003, 'layers': 1, 'neurons': 20, 'regu': 1e-05};22;;;;;;;0.08538307484043536;0.07094809735804719;;
250.02297321955362;31.27269721031189;;;0.35000000000000003;2;40;0.0001;{'dropout': 0.35000000000000003, 'layers': 2, 'neurons': 40, 'regu': 0.0001};23;;;;;;;2.137446386179683;0.17749617637372295;;
247.60062789916992;30.877288420995075;;;0.35000000000000003;2;40;1,00E-05;{'dropout': 0.35000000000000003, 'layers': 2, 'neurons': 40, 'regu': 1e-05};24;;;-44.02302932739258;#NAME?;;;1.1280604041881739;0.10857349533679707;;
248.2067670027415;30.57710536321004;;;0.35000000000000003;2;40;1,00E-06;{'dropout': 0.35000000000000003, 'layers': 2, 'neurons': 40, 'regu': 1e-06};25;;;;;;;4.343942838664854;0.2297379505868136;;
243.73430379231772;30.20141879717509;;;0.35000000000000003;2;20;0.01;{'dropout': 0.35000000000000003, 'layers': 2, 'neurons': 20, 'regu': 0.01};26;;;;;;;0.8222604823591599;0.20414788233137568;;
