;switch-off penalty
0;114.15932951985441
1;114.15932951985441
2;114.15932951985441
3;114.15932951985441
4;114.15932951985441
5;114.15932951985441
6;114.15932951985441
7;114.15932951985441
8;114.15932951985441
9;114.15932951985441
10;114.15932951985441
11;114.15932951985441
12;114.15932951985441
13;114.15932951985441
14;114.15932951985441
15;113.55667699950894
16;85.72116589394572
17;114.15932951985441
18;114.15932951985441
19;114.15932951985441
20;114.15932951985441
21;114.15932951985441
22;113.55667699950894
23;114.15932951985441
24;114.15932951985441
25;114.15932951985441
26;113.55667699950894
27;114.15932951985441
28;114.15932951985441
29;113.55667699950894
30;114.15932951985441
31;85.72116589394572
32;114.15932951985441
33;114.15932951985441
34;114.15932951985441
35;113.55667699950894
36;85.72116589394572
37;85.72116589394572
38;85.72116589394572
39;114.15932951985441
40;114.15932951985441
41;85.72116589394572
42;85.72116589394572
43;114.15932951985441
44;114.15932951985441
45;114.15932951985441
46;114.15932951985441
47;114.15932951985441
48;114.15932951985441
49;114.15932951985441
50;114.15932951985441
51;85.72116589394572
52;85.72116589394572
53;114.15932951985441
54;113.55667699950894
55;114.15932951985441
56;114.15932951985441
57;114.15932951985441
58;114.15932951985441
59;114.15932951985441
60;113.55667699950894
61;85.72116589394572
62;114.15932951985441
63;114.15932951985441
64;114.15932951985441
65;85.72116589394572
66;114.15932951985441
67;113.55667699950894
68;114.15932951985441
69;114.15932951985441
70;114.15932951985441
71;114.15932951985441
72;114.15932951985441
73;114.15932951985441
74;114.15932951985441
75;114.15932951985441
76;85.72116589394572
77;114.15932951985441
78;114.15932951985441
79;114.15932951985441
80;114.15932951985441
81;114.15932951985441
82;85.72116589394572
83;114.15932951985441
84;114.15932951985441
85;114.15932951985441
86;85.72116589394572
87;113.55667699950894
88;114.15932951985441
89;114.15932951985441
90;114.15932951985441
91;85.72116589394572
92;114.15932951985441
93;114.15932951985441
94;114.15932951985441
95;114.15932951985441
96;85.72116589394572
97;114.15932951985441
98;114.15932951985441
99;114.15932951985441
100;113.55667699950894
101;114.15932951985441
102;114.15932951985441
103;114.15932951985441
104;114.15932951985441
105;114.15932951985441
106;114.15932951985441
107;114.15932951985441
108;114.15932951985441
109;114.15932951985441
110;113.55667699950894
111;114.15932951985441
112;114.15932951985441
113;114.15932951985441
114;114.15932951985441
115;114.15932951985441
116;114.15932951985441
117;114.15932951985441
118;85.72116589394572
119;114.15932951985441
120;114.15932951985441
121;114.15932951985441
122;114.15932951985441
123;114.15932951985441
124;114.15932951985441
125;114.15932951985441
126;85.72116589394572
127;114.15932951985441
128;114.15932951985441
129;114.15932951985441
130;114.15932951985441
131;113.55667699950894
132;114.15932951985441
133;114.15932951985441
134;114.15932951985441
135;114.15932951985441
136;114.15932951985441
137;114.15932951985441
138;114.15932951985441
139;114.15932951985441
140;114.15932951985441
141;114.15932951985441
142;114.15932951985441
143;114.15932951985441
144;114.15932951985441
145;114.15932951985441
146;85.72116589394572
147;114.15932951985441
148;114.15932951985441
149;114.15932951985441
150;114.15932951985441
151;114.15932951985441
152;114.15932951985441
153;114.15932951985441
154;114.15932951985441
155;114.15932951985441
156;114.15932951985441
157;114.15932951985441
158;114.15932951985441
159;114.15932951985441
160;114.15932951985441
161;114.15932951985441
162;114.15932951985441
163;114.15932951985441
164;114.15932951985441
165;114.15932951985441
166;114.15932951985441
167;114.15932951985441
168;114.15932951985441
169;85.72116589394572
170;85.72116589394572
171;85.72116589394572
172;85.72116589394572
173;114.15932951985441
174;114.15932951985441
175;114.15932951985441
176;114.15932951985441
177;114.15932951985441
178;114.15932951985441
179;114.15932951985441
180;113.55667699950894
181;114.15932951985441
182;85.72116589394572
183;114.15932951985441
184;114.15932951985441
185;113.55667699950894
186;113.55667699950894
187;114.15932951985441
188;114.15932951985441
189;114.15932951985441
190;114.15932951985441
191;114.15932951985441
192;114.15932951985441
193;114.15932951985441
194;114.15932951985441
195;114.15932951985441
196;114.15932951985441
197;114.15932951985441
198;114.15932951985441
199;114.15932951985441
