;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;0.0;95.46117724880293;237311.10439781274;0.0;45.78114448214379;40.96683297632755;0.0;53.23589122997875;57.581601717929495;46.222546134764485
1;1.0;93.77065330089532;242377.08333022718;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;55.934210347903345;46.222546134764485
2;0.0;94.05278402272485;243650.34823029724;0.0;46.4067319702996;50.525264845436915;0.0;48.293921106870286;57.581601717929495;44.13456517756153
3;0.0;94.41823055384934;234029.5083236082;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
4;0.0;94.41823055384934;228491.9489730001;0.0;45.78114448214347;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764514
5;0.0;93.15509124298534;239137.13542473363;0.0;45.781144482143475;43.0669811605005;0.0;48.293921106870286;57.581601717929495;46.22254613476451
6;0.0;93.7084540630595;232900.12744324826;0.0;45.781144482143475;46.98771662858288;0.0;48.293921106870286;57.58160171792949;46.22254613476448
7;1.0;88.54050102094925;232002.50585729125;0.0;45.78114448214351;50.525264845436915;0.0;37.12640832579113;57.58160171792949;46.222546134764485
8;0.0;94.41823055384934;243359.71823546573;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.22254613476448
9;0.0;94.41823055384934;237352.13262921092;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
10;0.0;94.41823055384934;232799.32038640656;0.0;45.78114448214347;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
11;0.0;94.41823055384934;232613.62198559937;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
12;1.0;99.5639350542979;239706.58442998482;0.0;45.781144482143475;40.96683297632794;0.0;61.25204084410509;57.58160171792948;45.83032415700087
13;0.0;93.19980098819615;240961.2477479728;0.0;45.781144482143475;47.03061768018334;0.0;48.293921106870286;57.58160171792956;44.1550170536655
14;0.0;94.41823055384934;239776.05343822303;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
15;1.0;93.39595857667157;237914.2255711423;0.0;45.781144482143475;44.77359581552825;0.0;48.293921106870286;57.581601717929495;46.222546134764485
16;0.0;94.41823055384934;240116.54090338162;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764514
17;0.0;94.41823055384934;230870.87640630786;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
18;0.0;94.41823055384934;234767.39532752242;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;46.222546134764485
19;0.0;94.41823055384934;236741.8252579036;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.58160171792949;46.222546134764535
20;0.0;93.20685014766921;235188.66042885787;0.0;45.781144482143475;43.433707955329254;0.0;48.293921106870286;57.581601717929495;46.222546134764485
21;1.0;92.91555301732359;247527.7060547787;0.0;45.11100089960918;45.40104678466001;0.0;48.293921106870286;57.58160171792949;44.60126217439344
22;1.0;92.06472218625707;231088.9153633841;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;51.594440562454054;46.222546134764485
23;1.0;93.84993364540978;242880.59794988838;0.0;45.781144482143475;50.525264845436915;0.0;48.293921106870286;57.581601717929495;43.9397560204649
