;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;1.0;102.51640089196398;201414.01231653886;72.984;0.0;0.0;23.936983785126046;47.84;62.6;50.34
1;0.0;131.3768287909026;245982.02985221404;72.984;0.0;65.71073751969772;23.936983785125385;47.84;62.6;50.34
2;1.0;102.51640089196388;198518.744164949;72.984;0.0;0.0;23.936983785125825;47.84;62.6;50.34
3;1.0;102.51640089196387;200253.66625452967;72.984;0.0;0.0;23.936983785125793;47.84;62.6;50.34
4;1.0;102.51640089196388;207280.2476604535;72.984;0.0;0.0;23.936983785125825;47.84;62.6;50.34
5;0.0;129.42218745644755;245907.7480629249;72.984;0.0;62.64882462162877;23.936983785125793;47.84;62.6;50.34
6;1.0;102.516400891964;207674.02398528185;72.984;0.0;0.0;23.936983785126078;47.84;62.6;50.34
7;1.0;102.51640089196395;200250.06931243069;72.984;0.0;0.0;23.936983785125985;47.84;62.6;50.34
8;1.0;102.51640089196367;204788.3484333154;72.984;0.0;0.0;23.93698378512537;47.84;62.6;50.34
9;1.0;102.51640089196398;198376.27879706206;72.984;0.0;0.0;23.936983785126046;47.84;62.6;50.34
10;1.0;102.51640089196384;196646.62248513626;72.984;0.0;0.0;23.93698378512573;47.84;62.6;50.34
11;1.0;102.51640089196393;197587.2842809228;72.984;0.0;0.0;23.93698378512592;47.84;62.6;50.34
12;1.0;102.51640089196391;201262.71978829574;72.984;0.0;0.0;23.936983785125886;47.84;62.6;50.34
13;0.0;131.37682879090252;246708.49314788886;72.984;0.0;65.71073751969772;23.936983785125197;47.84;62.6;50.34
14;1.0;102.51640089196391;200023.4731954878;72.984;0.0;0.0;23.936983785125886;47.84;62.6;50.34
15;1.0;102.51640089196384;205730.28017585294;72.984;0.0;0.0;23.93698378512573;47.84;62.6;50.34
16;1.0;102.51640089196398;203672.02471249612;72.984;0.0;0.0;23.936983785126046;47.84;62.6;50.34
17;1.0;102.51640089196388;201676.12793149124;72.984;0.0;0.0;23.936983785125825;47.84;62.6;50.34
18;1.0;102.5164008919639;197475.07407716688;72.984;0.0;0.0;23.936983785125857;47.84;62.6;50.34
19;1.0;102.51640089196395;209438.40922452018;72.984;0.0;0.0;23.936983785125985;47.84;62.6;50.34
20;1.0;102.51640089196394;191928.23828899357;72.984;0.0;0.0;23.93698378512595;47.84;62.6;50.34
21;1.0;102.51640089196394;204047.54313561667;72.984;0.0;0.0;23.93698378512595;47.84;62.6;50.34
22;1.0;102.51640089196384;189128.00946085915;72.984;0.0;0.0;23.93698378512573;47.84;62.6;50.34
23;1.0;102.5164008919639;203510.21229240068;72.984;0.0;0.0;23.936983785125857;47.84;62.6;50.34
24;1.0;102.51640089196391;204824.81790189137;72.984;0.0;0.0;23.936983785125886;47.84;62.6;50.34
