;infeasible_count;total_oil
0;0.0;93.53880324235364
1;0.0;95.51115252387575
2;0.0;105.90596341151466
3;2.0;90.47588904185865
4;2.0;90.47588904185865
5;0.0;107.69301640070813
6;1.0;93.53880324235364
7;0.0;95.51115252387577
8;0.0;95.51115252387575
9;1.0;93.53880324235367
10;1.0;93.53880324235364
11;2.0;90.47588904185865
12;0.0;106.67382263649154
13;1.0;93.53880324235418
14;0.0;95.31062234423302
15;0.0;107.35669331792585
16;0.0;93.53880324235364
17;1.0;93.53880324235367
18;0.0;106.75092977158418
19;0.0;107.61412808380756
20;0.0;98.85091204443684
21;0.0;106.171079291102
22;1.0;93.53880324235364
23;1.0;93.53880324235364
24;0.0;95.51115252387575
25;0.0;95.51115252387575
26;0.0;95.78799784394184
27;0.0;106.85833992109046
28;0.0;95.51115252387575
29;0.0;95.51115252387575
30;0.0;107.38353436072666
31;0.0;95.51115252387577
32;0.0;107.19922134084804
33;0.0;106.67506653187151
34;0.0;106.29715235813073
35;0.0;95.51115252387575
36;1.0;93.53880324235364
37;0.0;106.72431540260344
38;2.0;90.47588904185865
39;1.0;93.53880324235364
40;0.0;95.51115252387577
41;0.0;106.0509491229659
42;0.0;106.28521972009761
43;0.0;105.84660180178004
44;0.0;95.51115252387575
45;0.0;106.70682929975875
46;0.0;97.74546115482597
47;0.0;95.51115252387577
48;0.0;95.51115252387575
49;0.0;95.51115252387575
50;0.0;98.85091204443684
51;0.0;107.91601614378143
52;0.0;95.51115252387575
53;0.0;107.03747279472422
54;0.0;107.29624659399467
55;1.0;93.53880324235364
56;0.0;106.70721495182917
57;0.0;95.51115252387575
58;0.0;106.77009889219816
59;0.0;98.5994671416096
60;0.0;107.29093860518121
61;0.0;95.51115252387577
62;0.0;106.84901797990503
63;0.0;95.51115252387575
64;0.0;95.51115252387577
65;0.0;106.69497785428028
66;1.0;93.53880324235367
67;2.0;90.47588904185865
68;1.0;93.53880324235364
69;0.0;106.09518237306081
70;0.0;107.71452427292155
71;2.0;90.47588904185865
72;0.0;95.51115252387575
73;1.0;93.53880324235364
74;0.0;97.94885784176438
75;0.0;95.09355152180692
76;0.0;95.51115252387575
77;0.0;107.56901397747251
78;1.0;93.53880324235364
79;0.0;107.29401679648012
80;1.0;93.53880324235368
81;0.0;106.35176995683038
82;0.0;95.51115252387575
83;2.0;90.47588904185865
84;0.0;106.25693704365354
85;0.0;107.48648805160258
86;1.0;93.53880324235364
87;1.0;93.53880324235364
88;0.0;106.94571671636206
89;1.0;93.53880324235364
90;1.0;93.53880324235367
91;0.0;98.59486695030147
92;0.0;107.55793694088263
93;1.0;93.53880324235364
94;0.0;95.51115252387575
95;0.0;95.51115252387577
