;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;0.0;110.12189603211804;213481.86889192087;72.984;0.0;55.72784109809689;24.4943904216201;53.227;62.606;13.948107055817049
1;0.0;109.77527172630889;217924.65862754826;72.984;0.0;55.808767990246814;23.829254408263253;53.227;62.606;13.948107055817049
2;0.0;107.69832429141769;210089.38547504623;72.984;0.0;58.31634978346653;5.630999999999267;53.227;62.606;13.948107055817049
3;0.0;111.389609958295;216403.5730156212;72.984;0.0;57.68748535994975;24.844987320070288;53.227;62.606;13.948107055817049
4;0.0;108.9469540294827;212259.75430364982;72.984;0.0;56.17188511257773;20.0;53.227;62.606;13.948107055817049
5;0.0;111.04524630083293;213040.40973387432;72.984;0.0;57.000209977465715;24.892779251558792;53.227;62.606;13.948107055817049
6;0.0;107.69832429141775;203707.06142382752;72.984;0.0;58.31634978346653;5.630999999999151;53.227;62.606;13.948107055817049
7;0.0;107.69832429141769;210933.3650278172;72.984;0.0;58.31634978346653;5.630999999999267;53.227;62.606;13.948107055817049
8;0.0;109.67208532883006;220795.63968777488;72.984;0.0;57.51006286863009;20.0;53.227;62.606;13.948107055817049
9;0.0;104.64915861596582;216781.6790762843;72.984;0.0;40.0;20.0;54.116391582974266;62.606;13.948107055817049
10;0.0;109.31305339239745;214140.89874267136;72.984;0.0;56.847495204706405;20.0;53.227;62.606;13.948107055817049
11;1.0;110.05055520625024;225031.87661808418;72.984;0.0;58.034745155661184;20.918209470085994;53.227;62.606;13.948107055817049
12;0.0;104.64915861596582;216630.46964720427;72.984;0.0;40.0;20.0;54.116391582974266;62.606;13.948107055817049
13;0.0;104.6491586159658;218617.60046281503;72.984;0.0;40.0;20.0;54.11639158297426;62.606;13.948107055817049
14;0.0;110.0351612359091;215927.5261291772;72.984;0.0;57.871441049859214;21.63105940217578;53.227;62.606;13.948107055817049
15;0.0;107.69832429141775;223633.85430376284;72.984;0.0;58.31634978346653;5.630999999999151;53.227;62.606;13.948107055817049
16;0.0;104.64915861596582;217134.30446463774;72.984;0.0;40.0;20.0;54.116391582974266;62.606;13.948107055817049
17;0.0;107.69832429141769;213506.62319281418;72.984;0.0;58.31634978346653;5.630999999999267;53.227;62.606;13.948107055817049
18;0.0;111.47947702252101;218451.95285779246;72.984;0.0;57.33802546389832;25.32062984848907;53.227;62.606;13.948107055817049
